"","x"
"X1",2299.13325601845
"X2",7018.29219960596
"X3",1162.69010556553
"X4",360.315820468652
"X5",64.2516185010153
"X6",2074.09894815314
"X7",77.194564575489
"X8",235.725828983594
"X9",370.409926864822
"X10",515.02726644325
"X11",672.448795916836
"X12",20827.0699051451
"X13",1106.98037230567
"X14",395.07179819623
"X15",42710.4379303734
