COURSE PER BUILDING REPORT,,,,,,,,
UNIVERSITY OF SAN CARLOS,,,,,,,,
PERIOD: 2nd SEMESTER SY 2018 - 2019,,,,,,,,
,,,,,,,,
COURSE TITLE,COURSE DESCRIPTION,GROUP #,ENROLLED STUDENTS,,COURSE STATUS,SCHEDULE,,
ARCSTR 3N,STRUCTURAL DESIGN OF REINFORCED CONCRETE 2,1,34,,PETITION,Sat (12:30 PM) - (03:30 PM) CB3                 ,,
BLDGTEC 2,CONST. DRAWINGS IN WOOD & MASONRY,1,2,,TUTORIAL,MW (12:30 PM) - (02:00 PM) 1B10a               F (12:30 PM) - (02:30 PM) 1B10a               ,,
BLDGTEC 3,CONST. DRAWINGS IN CONCRETE AND STEEL,1,33,,PETITION,MW (08:00 AM) - (10:30 AM) 2B07F               ,,
BLDGTEC 4,ADVANCED CONST. METHODS ARCH'L. DETAILING,1,2,,DISSOLVED,M (02:30 PM) - (05:00 PM) AF305               W (03:30 PM) - (05:00 PM) AF305               W (02:30 PM) - (03:30 PM) AF110               ,,
BLDGTEC 4,ADVANCED CONST. METHODS ARCH'L. DETAILING,2,40,,REGULAR,T (08:00 AM) - (09:30 AM) AF305               Th (08:00 AM) - (10:30 AM) AF305               T (09:30 AM) - (10:30 AM) AF111               ,,
BLDGTEC 4,ADVANCED CONST. METHODS ARCH'L. DETAILING,3,29,,REGULAR,MW (01:30 PM) - (04:00 PM) 1B12d               ,,
BLDGTEC 5,"EST., SPECS & CONST. MGMT TOOLS",1,21,,PETITION,MW (08:00 AM) - (10:30 AM) 1B12b               ,,
CAD 1,COMPUTER-AIDED DESIGN I,5,15,,PETITION,MW (08:00 AM) - (10:30 AM) AF110               ,,
CAD 1,COMPUTER-AIDED DESIGN I,1,30,,REGULAR,TTh (03:00 PM) - (05:30 PM) AF111               ,,
CAD 1,COMPUTER-AIDED DESIGN I,2,30,,REGULAR,TTh (03:00 PM) - (05:30 PM) AF110               ,,
CAD 1,COMPUTER-AIDED DESIGN I,3,28,,REGULAR,TTh (05:30 PM) - (08:00 PM) AF111               ,,
