value;temp
1.7172;27.2333
1.8179;26.7250
1.9172;26.1333
2.0307;25.2750
2.1442;24.3750
2.1550;24.4667
2.0576;25.5000
6.4447;26.8167
23.9826;27.9833
25.4377;28.9833
25.4077;29.8083
27.1155;30.3917
27.5640;30.7167
23.2163;30.8000
21.2031;30.6250
21.3011;30.2667
21.5573;29.8667
7.0178;29.5250
3.6184;29.2250
1.7249;28.9250
1.4562;28.6250
1.5127;28.3250
1.5653;28.0250
1.6205;27.7833
1.6725;27.6417
1.7303;27.4833
1.7852;27.3417
1.8270;27.3000
1.8700;27.2417
1.8995;27.2583
1.8486;27.5333
3.5220;28.0500
18.1336;28.8833
25.4368;29.8250
25.5158;30.5500
26.1047;30.8583
26.4739;30.8417
25.9892;30.6833
25.4552;30.4833
24.5248;30.2833
23.5470;30.0833
10.6943;29.8833
8.9336;29.6250
7.4643;29.3250
1.4222;28.9667
1.4980;28.5667
1.5773;28.1667
1.6560;27.7667
1.7369;27.3083
1.8477;26.8667
1.9504;26.4667
2.0458;26.0083
2.1101;25.5667
2.1081;25.7500
2.0520;26.5250
6.6356;27.5417
23.7397;28.5833
26.3606;29.4667
27.6360;30.1500
29.9250;30.5167
29.9737;30.6000
25.1432;30.4833
23.7451;30.1667
23.6103;29.7667
23.4509;29.3083
7.3882;28.8083
3.2694;28.3667
1.6024;27.9083
1.6513;27.5833
1.6963;27.4417
1.7488;27.2833
1.8085;27.0833
1.8630;26.9417
1.9185;26.7833
1.9755;26.5833
2.0249;26.4417
2.0718;26.2833
2.0953;26.3167
2.0502;26.6917
4.1902;27.3083
19.8282;28.2417
24.8588;29.2833
24.7001;30.1083
24.6820;30.4000
26.0443;30.2833
25.2195;30.0833
25.2089;29.9417
24.0284;29.7833
22.4842;29.5833
9.0117;29.3250
7.7979;28.9667
6.6971;28.5667
1.6549;28.2250
1.7094;27.9250
1.7729;27.5667
1.8220;27.4000
1.8517;27.4583
1.8836;27.5000
1.9513;27.2083
2.0276;26.7667
2.1025;26.3083
2.1231;26.3333
2.0512;26.8500
6.9436;27.6250
24.1951;28.5833
26.7518;29.4667
26.8015;30.0917
27.6921;30.1833
28.0714;29.8667
26.4690;29.4667
25.0681;29.1833
22.9754;29.0417
21.1041;28.9417
6.1374;28.8417
2.7004;28.6250
1.5983;28.3833
1.6479;28.1250
1.7131;27.8250
1.7747;27.5250
1.8242;27.3417
1.8621;27.3000
1.9230;27.2417
2.0020;27.0250
2.0932;26.7250
2.1501;26.4250
2.1684;26.2417
2.1670;26.2583
2.1123;26.4167
23.8438;26.7917
34.1570;27.3500
33.4657;27.9500
32.1807;28.4917
15.9819;28.9333
14.4805;29.2750
12.4407;29.5167
10.0827;29.5417
8.5659;29.3833
7.5529;28.9500
5.7026;28.3500
4.9187;27.7500
4.2779;27.3833
1.8691;27.2417
1.9152;27.0833
1.9680;26.8833
2.0219;26.6833
2.0742;26.4833
2.1139;26.4000
2.1441;26.4000
2.1610;26.4000
2.1457;26.9250
2.0192;27.8833
1.8094;28.8250
1.6504;29.5500
1.5130;30.0917
1.4196;30.4750
1.3398;30.7750
1.2767;30.9583
1.1325;31.0583
0.9681;31.1000
0.9509;30.9250
1.0211;30.6250
1.1322;30.2083
1.3071;29.7667
1.3702;29.3667
1.4255;29.0250
1.4965;28.7250
1.5743;28.4250
1.6442;28.1833
1.6981;28.0417
1.7541;27.8833
1.8247;27.5667
1.8993;27.1667
1.9716;26.7667
1.9855;26.8917
1.8919;27.5083
5.7241;28.3250
20.0403;29.2250
23.1000;30.0667
23.3325;30.6917
25.0204;31.0167
25.7498;31.1000
21.5359;31.1000
19.7786;31.1000
20.2229;31.0417
20.7413;30.7667
6.9670;30.1917
3.6564;29.5500
1.7648;28.9500
1.4412;28.6417
1.4788;28.5417
1.5193;28.4417
1.5791;28.2250
1.6435;27.9833
1.7083;27.7250
1.7632;27.5417
1.8172;27.3833
1.8692;27.2417
1.8653;27.6083
1.7603;28.3667
1.6019;29.1083
1.5393;29.1667
1.3743;29.6417
1.2079;30.6833
1.1506;31.1583
1.0910;31.2000
0.9799;31.0833
0.8413;30.8833
0.8158;30.6250
0.8821;30.3250
1.0266;30.0250
1.2410;29.6667
1.3120;29.3250
1.3703;29.0250
1.4392;28.6667
1.5078;28.3250
1.5698;28.0833
1.6336;27.8250
1.6933;27.5833
1.7446;27.4417
1.7890;27.4000
1.8355;27.3417
1.8493;27.5333
1.7615;28.0500
5.1637;28.7083
17.7918;29.3500
22.1024;30.0083
23.5096;30.5917
26.0635;31.0333
25.9948;31.3167
21.4087;31.2833
20.5769;30.7917
21.5243;30.0333
21.7968;29.2333
6.8809;28.6083
3.0119;28.2833
1.4979;28.0250
1.5417;27.9000
1.5820;27.9000
1.6226;27.9000
1.6704;27.8417
1.7170;27.8000
1.7577;27.8000
1.8247;27.5083
1.9009;27.0667
1.9764;26.6083
1.9973;26.6333
1.9320;27.0917
3.7967;27.6500
17.6370;28.1917
23.7935;28.6917
23.7541;29.2500
23.3357;29.8500
24.2718;30.2750
22.9886;30.5167
22.9100;30.4833
22.2148;30.2250
20.7767;29.9250
8.1989;29.6833
7.3934;29.3667
6.6038;29.0250
1.5649;28.6083
1.6424;28.1083
1.7164;27.6083
1.7880;27.1667
1.8599;26.7667
1.9287;26.3667
1.9811;26.1417
2.0200;26.1000
2.0614;26.0417
2.0239;26.7583
1.8642;28.1750
6.0239;29.5583
19.7496;30.4500
24.2174;30.8750
24.9638;31.0583
25.5869;31.1583
25.7045;31.2583
23.3686;31.2417
21.8985;31.0833
20.4873;30.7667
19.4265;30.3083
5.6551;29.7500
2.4820;29.2667
1.4536;28.8083
1.5073;28.5417
1.5510;28.4417
1.5958;28.3417
1.6776;27.8917
1.7880;27.1333
1.8947;26.3917
1.9709;25.9833
2.0299;25.7833
2.0902;25.5833
2.0621;26.2000
1.9154;27.5167
1.6931;28.8583
17.2615;29.8083
25.7941;30.3333
26.9639;30.6750
26.5617;30.9167
13.0687;31.0000
11.6773;31.0000
9.6327;30.9417
7.3570;30.7250
6.1932;30.3083
6.1681;29.6333
5.3556;28.9500
4.7575;28.2917
4.0581;28.0000
1.5454;27.9417
1.5876;27.9000
1.6419;27.7833
1.7079;27.5250
1.7678;27.2833
1.8242;27.0833
1.8883;26.8250
1.9504;26.5833
1.9439;26.9667
1.8337;27.8250
1.6587;28.7250
1.5288;29.4500
1.3907;30.0500
1.2653;30.5917
1.1508;31.2083
1.0522;31.7333
0.9350;31.9583
0.8709;31.7083
0.9323;31.0917
1.0547;30.3333
1.2391;29.4750
1.3984;28.7500
1.4837;28.0917
1.5352;27.8000
1.5758;27.7417
1.6196;27.7000
1.6681;27.6417
1.7139;27.6000
1.7561;27.5417
1.8153;27.3250
1.8851;26.9667
