value;temp
-1.286273653;27.23333333
-1.113537118;26.725
-0.970508448;26.13333333
-0.815754096;25.275
-0.660205283;24.375
-0.623367047;24.46666667
-0.764737075;25.5
-3.369431984;26.81666667
-34.83515631;27.98333333
-30.04651666;28.98333333
-30.03081762;29.80833333
-30.81942152;30.39166667
-30.72121537;30.71666667
-31.23579309;30.8
-30.27865927;30.625
-26.32492459;30.26666667
-23.34307997;29.86666667
-8.279932501;29.525
-3.997318454;29.225
-1.840916026;28.925
-1.606723599;28.625
-1.537994181;28.325
-1.480359192;28.025
-1.416752789;27.78333333
-1.354878671;27.64166667
-1.284309519;27.48333333
-1.215870496;27.34166667
-1.168109372;27.3
-1.12002322;27.24166667
-1.087159079;27.25833333
-1.139743853;27.53333333
-3.867947043;28.05
-28.50832427;28.88333333
-31.50233035;29.825
-32.16722673;30.55
-30.70499389;30.85833333
-33.03914149;30.84166667
-35.48574359;30.68333333
-35.27657267;30.48333333
-31.47620933;30.28333333
-30.53305734;30.08333333
-15.81782256;29.88333333
-9.225164077;29.625
-5.065575432;29.325
-1.667841891;28.96666667
-1.577732871;28.56666667
-1.467515096;28.16666667
-1.357572922;27.76666667
-1.245287485;27.30833333
-1.107353873;26.86666667
-0.977108591;26.46666667
-0.854286101;26.00833333
-0.762897056;25.56666667
-0.753555301;25.75
-0.840392124;26.525
-3.551000375;27.54166667
-36.41484767;28.58333333
-31.27688746;29.46666667
-31.1643082;30.15
-31.73306354;30.51666667
-31.28786818;30.6
-32.82496969;30.48333333
-32.351093;30.16666667
-26.96933379;29.76666667
-22.66031323;29.30833333
-7.760847257;28.80833333
-3.457781667;28.36666667
-1.448444363;27.90833333
-1.383943944;27.58333333
-1.32506497;27.44166667
-1.255486861;27.28333333
-1.177909933;27.08333333
-1.106098199;26.94166667
-1.032353947;26.78333333
-0.95589424;26.58333333
-0.886552856;26.44166667
-0.822858431;26.28333333
-0.789876468;26.31666667
-0.860966124;26.69166667
-4.059479824;27.30833333
-25.18279939;28.24166667
-29.48997135;29.28333333
-30.41939857;30.10833333
-29.04309049;30.4
-30.43693445;30.28333333
-32.94553144;30.08333333
-33.45040177;29.94166667
-29.28137309;29.78333333
-27.02813225;29.58333333
-12.95246574;29.325
-7.619485117;28.96666667
-3.624240921;28.56666667
-1.385848877;28.225
-1.314970047;27.925
-1.231947412;27.56666667
-1.16694523;27.4
-1.131960323;27.45833333
-1.095647301;27.5
-1.014521008;27.20833333
-0.91082368;26.76666667
-0.80374356;26.30833333
-0.767451376;26.33333333
-0.856744643;26.85
-3.961707285;27.625
-26.58356472;28.58333333
-23.89416976;29.46666667
-23.88322078;30.09166667
-24.63955966;30.18333333
-24.37833494;29.86666667
-26.83674505;29.46666667
-29.13610372;29.18333333
-25.83009643;29.04166667
-20.60978153;28.94166667
-6.935129463;28.84166667
-3.180618385;28.625
-1.45876716;28.38333333
-1.391912326;28.125
-1.309003366;27.825
-1.22910989;27.525
-1.164787882;27.34166667
-1.117777619;27.3
-1.050643955;27.24166667
-0.959383485;27.025
-0.839682771;26.725
-0.74447196;26.425
-0.694540811;26.24166667
-0.685963213;26.25833333
-0.761761185;26.41666667
-27.34154858;26.79166667
-29.38250998;27.35
-29.7467946;27.95
-28.24876214;28.49166667
-15.13908492;28.93333333
-15.11323459;29.275
-14.71362761;29.51666667
-13.38907725;29.54166667
-11.31344567;29.38333333
-7.475493574;28.95
-3.615535612;28.35
-2.804526958;27.75
-2.299592646;27.38333333
-1.095285575;27.24166667
-1.039619075;27.08333333
-0.972662474;26.88333333
-0.906242216;26.68333333
-0.841882535;26.48333333
-0.793735904;26.4
-0.756347752;26.4
-0.71833514;26.4
-0.755666715;26.925
-0.933962302;27.88333333
-1.201592896;28.825
-1.410944703;29.55
-1.577918136;30.09166667
-1.689023388;30.475
-1.714434917;30.775
-1.73601949;30.95833333
-1.826220935;31.05833333
-1.880740246;31.1
-1.898735372;30.925
-1.914435514;30.625
-1.919811163;30.20833333
-1.852332383;29.76666667
-1.785457534;29.36666667
-1.713756892;29.025
-1.617434975;28.725
-1.510563211;28.425
-1.414288544;28.18333333
-1.346101937;28.04166667
-1.277114167;27.88333333
-1.186019112;27.56666667
-1.085560059;27.16666667
-0.984165125;26.76666667
-0.959769332;26.89166667
-1.073595537;27.50833333
-4.487748229;28.325
-40.4077314;29.225
-34.00546862;30.06666667
-33.48981769;30.69166667
-34.34495521;31.01666667
-34.284754;31.1
-34.364585;31.1
-32.77266901;31.1
-28.48539592;31.04166667
-25.44935057;30.76666667
-8.758663939;30.19166667
-4.250419093;29.55
-1.888706979;28.95
-1.630974681;28.64166667
-1.588671401;28.54166667
-1.547905791;28.44166667
-1.480566792;28.225
-1.401773411;27.98333333
-1.322337307;27.725
-1.253300625;27.54166667
-1.186006958;27.38333333
-1.119482625;27.24166667
-1.124582117;27.60833333
-1.248128764;28.36666667
-1.436253158;29.10833333
-1.520438314;29.16666667
-1.704400847;29.64166667
-1.795761556;30.68333333
-1.773051426;31.15833333
-1.770739507;31.2
-1.79032609;31.08333333
-1.808092502;30.88333333
-1.777667105;30.625
-1.759761009;30.325
-1.750100404;30.025
-1.713560028;29.66666667
-1.706847604;29.325
-1.690313857;29.025
-1.63775066;28.66666667
-1.554102704;28.325
-1.476437425;28.08333333
-1.398641189;27.825
-1.32655969;27.58333333
-1.264621091;27.44166667
-1.211847686;27.4
-1.158015614;27.34166667
-1.145433645;27.53333333
-1.257645802;28.05
-4.990706517;28.70833333
-40.76219183;29.35
-34.67340306;30.00833333
-34.34709123;30.59166667
-34.83967196;31.03333333
-34.55059852;31.31666667
-34.97383917;31.28333333
-33.62138;30.79166667
-28.46019969;30.03333333
-24.49345402;29.23333333
-8.028499925;28.60833333
-3.678950569;28.28333333
-1.557912432;28.025
-1.500774538;27.9
-1.455035867;27.9
-1.409785127;27.9
-1.355644189;27.84166667
-1.301142718;27.8
-1.255440238;27.8
-1.174217814;27.50833333
-1.07110466;27.06666667
-0.964147787;26.60833333
-0.929953348;26.63333333
-1.019805419;27.09166667
-4.374259196;27.65
-27.42860558;28.19166667
-30.00141549;28.69166667
-31.09818532;29.25
-30.0878236;29.85
-31.63654677;30.275
-33.97821734;30.51666667
-34.70247489;30.48333333
-30.41543449;30.225
-28.16267249;29.925
-13.18567683;29.68333333
-7.974267917;29.36666667
-4.023935823;29.025
-1.514182163;28.60833333
-1.412388469;28.10833333
-1.307698157;27.60833333
-1.20631256;27.16666667
-1.106820782;26.76666667
-1.007775349;26.36666667
-0.93030803;26.14166667
-0.878890504;26.1
-0.829090114;26.04166667
-0.88405402;26.75833333
-1.109521631;28.175
-4.966179722;29.55833333
-30.17547688;30.45
-25.9114913;30.875
-25.44787552;31.05833333
-26.12280825;31.15833333
-26.15031276;31.25833333
-28.49448323;31.24166667
-28.70726247;31.08333333
-26.04858355;30.76666667
-21.63041598;30.30833333
-6.983711346;29.75
-3.269691154;29.26666667
-1.6267992;28.80833333
-1.556081601;28.54166667
-1.504734889;28.44166667
-1.454610647;28.34166667
-1.354755095;27.89166667
-1.201630542;27.13333333
-1.043479402;26.39166667
-0.929496801;25.98333333
-0.848793599;25.78333333
-0.773341027;25.58333333
-0.81211107;26.2
-1.011467324;27.51666667
-1.302454376;28.85833333
-32.45586633;29.80833333
-35.21907081;30.33333333
-33.5175584;30.675
-31.49440475;30.91666667
-16.46724874;31
-15.72774439;31
-14.71260689;30.94166667
-13.25345782;30.725
-11.38003286;30.30833333
-7.820254131;29.63333333
-4.05884695;28.95
-3.260934764;28.29166667
-2.783521289;28
-1.505329782;27.94166667
-1.456333099;27.9
-1.393960961;27.78333333
-1.315291655;27.525
-1.243725567;27.28333333
-1.175061422;27.08333333
-1.091413773;26.825
-1.003820918;26.58333333
-1.006687441;26.96666667
-1.139719172;27.825
-1.352428231;28.725
-1.521369619;29.45
-1.648353844;30.05
-1.710886697;30.59166667
-1.738463462;31.20833333
-1.768405606;31.73333333
-1.805875655;31.95833333
-1.791127678;31.70833333
-1.769221929;31.09166667
-1.750979171;30.33333333
-1.708929;29.475
-1.660020729;28.75
-1.583539417;28.09166667
-1.51204889;27.8
-1.463850843;27.74166667
-1.416195135;27.7
-1.360600807;27.64166667
-1.303468695;27.6
-1.251873323;27.54166667
-1.175789742;27.325
-1.084972141;26.96666667
-0.986053227;26.625
-0.923260276;26.675
-0.979678488;27.09166667
-4.143725087;27.70833333
-40.09712928;28.525
