value;temp
1.6885;27.2333
1.7107;26.7250
1.7436;26.1333
1.7916;25.2750
1.8409;24.3750
1.8515;24.4667
1.8063;25.5000
6.1181;26.8167
22.3016;27.9833
23.4497;28.9833
23.7025;29.8083
25.0641;30.3917
25.3235;30.7167
21.8962;30.8000
20.2121;30.6250
19.9654;30.2667
19.8749;29.8667
6.4318;29.5250
3.4194;29.2250
1.6735;28.9250
1.4637;28.6250
1.5200;28.3250
1.5724;28.0250
1.6274;27.7833
1.6678;27.6417
1.7044;27.4833
1.7428;27.3417
1.7750;27.3000
1.7958;27.2417
1.8087;27.2583
1.7692;27.5333
3.4907;28.0500
17.3829;28.8833
23.9545;29.8250
23.7152;30.5500
24.0478;30.8583
24.7170;30.8417
24.4476;30.6833
24.0277;30.4833
22.5880;30.2833
21.9031;30.0833
9.8093;29.8833
7.6607;29.6250
6.4596;29.3250
1.4270;28.9667
1.5025;28.5667
1.5806;28.1667
1.6292;27.7667
1.6808;27.3083
1.7668;26.8667
1.8192;26.4667
1.8649;26.0083
1.8716;25.5667
1.8514;25.7500
1.8475;26.5250
6.5075;27.5417
22.1278;28.5833
24.5530;29.4667
25.9089;30.1500
27.6977;30.5167
27.6038;30.6000
23.6865;30.4833
22.5997;30.1667
22.1021;29.7667
21.6337;29.3083
6.9251;28.8083
3.1926;28.3667
1.6068;27.9083
1.6369;27.5833
1.6642;27.4417
1.6987;27.2833
1.7370;27.0833
1.7543;26.9417
1.7724;26.7833
1.7918;26.5833
1.8068;26.4417
1.8241;26.2833
1.8348;26.3167
1.8342;26.6917
4.0257;27.3083
18.6307;28.2417
23.4148;29.2833
22.8209;30.1083
22.7459;30.4000
24.1538;30.2833
23.5919;30.0833
23.6119;29.9417
21.9069;29.7833
20.6735;29.5833
8.2264;29.3250
6.7216;28.9667
5.6962;28.5667
1.6270;28.2250
1.6652;27.9250
1.7037;27.5667
1.7232;27.4000
1.7400;27.4583
1.7565;27.5000
1.7864;27.2083
1.8122;26.7667
1.8347;26.3083
1.8451;26.3333
1.8169;26.8500
6.7753;27.6250
22.4763;28.5833
24.6071;29.4667
24.7614;30.0917
25.5278;30.1833
25.6262;29.8667
24.6052;29.4667
23.4818;29.1833
21.1945;29.0417
19.3069;28.9417
5.6860;28.8417
2.6189;28.6250
1.5833;28.3833
1.6134;28.1250
1.6607;27.8250
1.6967;27.5250
1.7153;27.3417
1.7319;27.3000
