Date/Time,AF305DAYLIGHINGCONTROL:Daylighting Reference Point 1 Illuminance [lux](Hourly),AF305DAYLIGHINGCONTROL:Daylighting Reference Point 2 Illuminance [lux](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 10/01  01:00:00,0.0,0.0,7963.017272001282 
 10/01  02:00:00,0.0,0.0,7877.944968411619 
 10/01  03:00:00,0.0,0.0,7740.801417253136 
 10/01  04:00:00,0.0,0.0,7672.267153196008 
 10/01  05:00:00,0.0,0.0,7608.173297778648 
 10/01  06:00:00,71.24927578475824,25.437812728550154,7667.6595646182 
 10/01  07:00:00,485.4143389220801,152.86517821256926,7805.949225552012 
 10/01  08:00:00,390.49075393967777,233.4965867524816,29706.342257138924 
 10/01  09:00:00,438.16037165366296,269.3872381300908,61874.24681707583 
 10/01  10:00:00,406.0014667578128,256.79729540099296,96309.80478936382 
 10/01  11:00:00,330.40688735272325,215.77541622525596,98030.95370563143 
 10/01  12:00:00,259.00377227489386,172.95287608185866,141694.39927415169 
 10/01  13:00:00,255.55208969184756,168.38818047790458,145111.92594510859 
 10/01  14:00:00,246.46269396644923,158.23624323458584,170382.44821892796 
 10/01  15:00:00,193.85135594601435,121.92151700123533,177616.67556937345 
 10/01  16:00:00,127.02876442535198,79.50505204263607,158774.61786176565 
 10/01  17:00:00,51.72072951762616,32.81850571712312,137267.5701978904 
 10/01  18:00:00,5.869133021200278,3.7200356062338888,52789.03110526993 
 10/01  19:00:00,0.0,0.0,26000.55588710556 
 10/01  20:00:00,0.0,0.0,10994.510620013816 
 10/01  21:00:00,0.0,0.0,8577.829551667242 
 10/01  22:00:00,0.0,0.0,8150.59601330973 
 10/01  23:00:00,0.0,0.0,8136.9201480324655 
 10/01  24:00:00,0.0,0.0,8119.429471205141 
 10/02  01:00:00,0.0,0.0,7871.989536985077 
 10/02  02:00:00,0.0,0.0,7779.889530858968 
 10/02  03:00:00,0.0,0.0,7669.911163300875 
 10/02  04:00:00,0.0,0.0,7553.677197479301 
 10/02  05:00:00,0.0,0.0,7426.659325282028 
 10/02  06:00:00,71.6322525010829,25.93501282972403,7538.586049274793 
 10/02  07:00:00,492.97337200449837,156.97276271132689,7974.399664843698 
 10/02  08:00:00,412.7996185978822,243.42672048627069,21087.60269106644 
 10/02  09:00:00,452.60457865756879,277.29161639818246,82563.76969170138 
 10/02  10:00:00,414.11080085771479,261.562415738947,115319.09781222265 
 10/02  11:00:00,321.3316395642999,209.9416594464138,121025.86507963711 
 10/02  12:00:00,266.90157064849378,177.90427672060083,151861.17695253765 
 10/02  13:00:00,257.2370256008997,169.08763666163174,136669.34117165485 
 10/02  14:00:00,218.3131033132996,140.28261568270885,154253.42383410608 
 10/02  15:00:00,181.54132375792356,114.39662685509613,130426.18854546525 
 10/02  16:00:00,127.42958669181913,79.72367605408927,135213.77790070963 
 10/02  17:00:00,64.6544757381822,40.8041953936395,111029.81926572095 
 10/02  18:00:00,7.29596773309586,4.576243048913171,109442.80950072548 
 10/02  19:00:00,0.0,0.0,64257.629846997384 
 10/02  20:00:00,0.0,0.0,31289.917712876064 
 10/02  21:00:00,0.0,0.0,8631.990493445248 
 10/02  22:00:00,0.0,0.0,8386.292650869234 
 10/02  23:00:00,0.0,0.0,8335.223156199596 
 10/02  24:00:00,0.0,0.0,8295.605639180341 
 10/03  01:00:00,0.0,0.0,8219.10815841262 
 10/03  02:00:00,0.0,0.0,8122.282520187309 
 10/03  03:00:00,0.0,0.0,7992.530025255056 
 10/03  04:00:00,0.0,0.0,7930.962564568536 
 10/03  05:00:00,0.0,0.0,7859.024199148723 
 10/03  06:00:00,27.648591262297527,11.720772649841005,7900.038331615531 
 10/03  07:00:00,171.41339527541974,73.86735557203186,8081.749050242851 
 10/03  08:00:00,236.39418142268074,147.69862655919915,25186.879516356843 
 10/03  09:00:00,332.2523714617035,208.91659652617987,75803.70104676538 
 10/03  10:00:00,339.2480424726645,217.45246332907088,112799.53827575244 
 10/03  11:00:00,303.9689959040294,199.53210987239047,133466.99861746157 
 10/03  12:00:00,266.81516030512099,176.8537935329767,164885.22982251386 
 10/03  13:00:00,233.05210433868556,153.01043105627563,155895.84815739288 
 10/03  14:00:00,203.17781145068913,130.8899776448221,152953.2584435114 
 10/03  15:00:00,187.62307008239328,118.12694302952717,158430.76462878925 
 10/03  16:00:00,150.32026044979629,93.75438307771715,123689.40236287425 
 10/03  17:00:00,78.99840609535956,48.814435302629849,68641.87615896687 
 10/03  18:00:00,9.475761774932105,5.772616777497194,52189.27514080168 
 10/03  19:00:00,0.0,0.0,22665.831820035444 
 10/03  20:00:00,0.0,0.0,9043.168982406913 
 10/03  21:00:00,0.0,0.0,8520.475370207962 
 10/03  22:00:00,0.0,0.0,8100.672502758949 
 10/03  23:00:00,0.0,0.0,8126.978242122001 
 10/03  24:00:00,0.0,0.0,8124.365848511068 
 10/04  01:00:00,0.0,0.0,8060.245677732455 
 10/04  02:00:00,0.0,0.0,7985.0548774862555 
 10/04  03:00:00,0.0,0.0,7924.356628214905 
 10/04  04:00:00,0.0,0.0,7909.207559840378 
 10/04  05:00:00,0.0,0.0,7907.254894739054 
 10/04  06:00:00,37.662886171446078,14.609415815809835,7929.302935569056 
 10/04  07:00:00,238.142172587464,93.86624842606835,8000.980985159746 
 10/04  08:00:00,283.7452612202199,176.9781342417239,22700.72155362889 
 10/04  09:00:00,343.94769308021366,216.22323440993527,96413.77052733943 
 10/04  10:00:00,338.9074656719594,217.30003030646768,132216.6008294253 
 10/04  11:00:00,302.6038522209723,198.6517635635968,157496.03587683265 
 10/04  12:00:00,275.60407763108449,182.96485917524124,161824.1910705235 
 10/04  13:00:00,260.73071739261249,171.38561018504098,164422.44411525236 
 10/04  14:00:00,245.01679508028495,157.23629668857496,176311.94640655805 
 10/04  15:00:00,221.94774308321449,139.30511797284985,165973.6492244501 
 10/04  16:00:00,165.35772797263443,102.17000747589235,172266.27029975723 
 10/04  17:00:00,84.60961974714259,51.768329423201958,160454.3946169028 
 10/04  18:00:00,11.17607871475868,6.763927031485205,87298.28440074984 
 10/04  19:00:00,0.0,0.0,62352.45226679617 
 10/04  20:00:00,0.0,0.0,44481.81365281241 
 10/04  21:00:00,0.0,0.0,8250.419480336404 
 10/04  22:00:00,0.0,0.0,8238.360843048538 
 10/04  23:00:00,0.0,0.0,8235.496406499775 
 10/04  24:00:00,0.0,0.0,8191.882756048563 
 10/05  01:00:00,0.0,0.0,8095.206772814917 
 10/05  02:00:00,0.0,0.0,7996.323249992221 
 10/05  03:00:00,0.0,0.0,7931.840545747746 
 10/05  04:00:00,0.0,0.0,7915.329472777436 
 10/05  05:00:00,0.0,0.0,7907.040288792581 
 10/05  06:00:00,53.79402502801645,20.379023126069919,7922.972001138162 
 10/05  07:00:00,350.6602909670624,125.84807735414224,7981.209672108217 
 10/05  08:00:00,310.4847420639846,192.8679766298524,28014.380316179497 
 10/05  09:00:00,357.23129238148189,223.916171009653,70319.01216192164 
 10/05  10:00:00,334.3111736402215,214.31408223188525,137594.93103974139 
 10/05  11:00:00,297.37749582116819,195.20671642432925,136158.9478709906 
 10/05  12:00:00,262.3106593088219,174.97634166164549,142519.65220258226 
 10/05  13:00:00,261.99774727046118,172.06484136725818,156296.46167873266 
 10/05  14:00:00,281.60679730313395,179.06037941553067,166606.7512950498 
 10/05  15:00:00,258.50560489248,159.67921666795409,145363.70663904245 
 10/05  16:00:00,173.9125321823326,106.08823799882612,126677.22159536423 
 10/05  17:00:00,83.65134731863147,51.104902477596919,117316.33943341281 
 10/05  18:00:00,9.199942582727616,5.583820681436474,55630.456451637205 
 10/05  19:00:00,0.0,0.0,29414.28550229617 
