time;kw;Demand
1;7.60;Measured
2;7.52;Measured
3;7.52;Measured
4;7.56;Measured
5;7.52;Measured
6;7.48;Measured
7;10.58;Measured
8;43.94;Measured
9;81.58;Measured
10;102.98;Measured
11;110.90;Measured
12;119.82;Measured
13;120.26;Measured
14;132.56;Measured
15;137.20;Measured
16;130.74;Measured
17;117.40;Measured
18;86.06;Measured
19;53.18;Measured
20;31.24;Measured
21;12.56;Measured
22;8.42;Measured
23;8.22;Measured
24;8.10;Measured
1;3.220417598;Simulated
2;3.101875657;Simulated
3;2.975673701;Simulated
4;2.85688441;Simulated
5;2.763009283;Simulated
6;2.800858;Simulated
7;3.047421438;Simulated
8;9.333909794;Simulated
9;65.65840188;Simulated
10;85.87469214;Simulated
11;90.10789395;Simulated
12;85.36012971;Simulated
13;82.0978933;Simulated
14;99.70275945;Simulated
15;115.6007288;Simulated
16;113.1126831;Simulated
17;108.2940042;Simulated
18;58.66730327;Simulated
19;37.46921005;Simulated
20;25.81849702;Simulated
21;3.857259762;Simulated
22;3.729587749;Simulated
23;3.58631931;Simulated
24;3.475149051;Simulated
