name;y_scatter;x_scatter
X1;1488.242673;-2674.26
X2;6508.429341;7819.038
X3;1186.035902;586.944
X4;338.2220778;564.924
X5;40.81635555;-33.156
X6;1425.113326;-2534.742
X7;76.2717607;109.194
X8;250.3310472;489.552
X9;278.3466907;1050.27
X10;459.5292187;-968.808
X11;636.9962459;-1294.878
X12;20527.66899;30005.454
X13;1076.360851;-1599.306
X14;373.8788424;1088.784
X15;43280.8285;-94665.78
