time;kw;Demand
1;7.88;Measured
2;7.80;Measured
3;7.65;Measured
4;7.85;Measured
5;8.25;Measured
6;7.43;Measured
7;8.40;Measured
8;12.85;Measured
9;12.75;Measured
10;13.10;Measured
11;13.95;Measured
12;14.03;Measured
13;13.78;Measured
14;13.23;Measured
15;12.85;Measured
16;13.03;Measured
17;17.68;Measured
18;13.20;Measured
19;10.15;Measured
20;9.95;Measured
21;9.50;Measured
22;9.05;Measured
23;8.95;Measured
24;8.55;Measured
1;6.330378756;Simulated
2;6.207413718;Simulated
3;6.115840121;Simulated
4;6.026901371;Simulated
5;5.93360861;Simulated
6;6.009459613;Simulated
7;6.300664098;Simulated
8;6.628629776;Simulated
9;6.886718525;Simulated
10;7.11374153;Simulated
11;7.272335007;Simulated
12;7.385468286;Simulated
13;7.467285869;Simulated
14;7.535356363;Simulated
15;7.519193815;Simulated
16;7.481746686;Simulated
17;7.42748148;Simulated
18;7.333337841;Simulated
19;7.204162686;Simulated
20;7.039832329;Simulated
21;6.918625131;Simulated
22;6.795185929;Simulated
23;6.662904243;Simulated
24;6.522527555;Simulated
