time;kw;Demand
1;7.88;Measured
2;7.80;Measured
3;7.65;Measured
4;7.85;Measured
5;8.25;Measured
6;7.43;Measured
7;8.40;Measured
8;12.85;Measured
9;12.75;Measured
10;13.10;Measured
11;13.95;Measured
12;14.03;Measured
13;13.78;Measured
14;13.23;Measured
15;12.85;Measured
16;13.03;Measured
17;17.68;Measured
18;13.20;Measured
19;10.15;Measured
20;9.95;Measured
21;9.50;Measured
22;9.05;Measured
23;8.95;Measured
24;8.55;Measured
1;3.228565207;Simulated
2;3.099046103;Simulated
3;2.997516433;Simulated
4;2.903179508;Simulated
5;2.825157155;Simulated
6;2.879624852;Simulated
7;3.172462941;Simulated
8;3.516750346;Simulated
9;3.815668113;Simulated
10;4.090631276;Simulated
11;4.309466355;Simulated
12;4.493784591;Simulated
13;4.641599907;Simulated
14;4.76576057;Simulated
15;4.751409918;Simulated
16;4.668270813;Simulated
17;4.510127969;Simulated
18;4.283361454;Simulated
19;4.076321613;Simulated
20;3.921282857;Simulated
21;3.798927167;Simulated
22;3.685126706;Simulated
23;3.557304299;Simulated
24;3.421590921;Simulated
