time;kw;Demand
1;7.88;Measured
2;7.80;Measured
3;7.65;Measured
4;7.85;Measured
5;8.25;Measured
6;7.43;Measured
7;8.40;Measured
8;12.85;Measured
9;12.75;Measured
10;13.10;Measured
11;13.95;Measured
12;14.03;Measured
13;13.78;Measured
14;13.23;Measured
15;12.85;Measured
16;13.03;Measured
17;17.68;Measured
18;13.20;Measured
19;10.15;Measured
20;9.95;Measured
21;9.50;Measured
22;9.05;Measured
23;8.95;Measured
24;8.55;Measured
1;4.309772073;Simulated
2;4.180694225;Simulated
3;4.08363335;Simulated
4;3.993252154;Simulated
5;3.902364495;Simulated
6;3.977788017;Simulated
7;4.289078454;Simulated
8;4.645383526;Simulated
9;4.916033425;Simulated
10;5.173123118;Simulated
11;5.382361275;Simulated
12;5.560455345;Simulated
13;5.70441446;Simulated
14;5.826978876;Simulated
15;5.814705594;Simulated
16;5.740108448;Simulated
17;5.595899601;Simulated
18;5.380287943;Simulated
19;5.183159343;Simulated
20;5.032573246;Simulated
21;4.914947627;Simulated
22;4.799521863;Simulated
23;4.671035697;Simulated
24;4.535423585;Simulated
