time;kw;Demand
1;7.58;Measured
2;7.70;Measured
3;7.70;Measured
4;7.52;Measured
5;7.54;Measured
6;7.48;Measured
7;10.94;Measured
8;50.22;Measured
9;97.50;Measured
10;116.42;Measured
11;127.50;Measured
12;139.84;Measured
13;146.04;Measured
14;161.90;Measured
15;171.04;Measured
16;163.92;Measured
17;142.94;Measured
18;99.08;Measured
19;61.90;Measured
20;33.62;Measured
21;16.12;Measured
22;10.04;Measured
23;7.82;Measured
24;7.68;Measured
1;8.14;Simulated
2;8.08900704;Simulated
3;8.045353079;Simulated
4;8.000963797;Simulated
5;7.953385342;Simulated
6;7.950724433;Simulated
7;8.018311083;Simulated
8;30.73640567;Simulated
9;190.2789829;Simulated
10;196.0901381;Simulated
11;197.6954035;Simulated
12;202.0494518;Simulated
13;193.1638808;Simulated
14;177.3550173;Simulated
15;182.6626535;Simulated
16;172.6698592;Simulated
17;155.1679038;Simulated
18;53.65855209;Simulated
19;26.65966104;Simulated
20;11.05996546;Simulated
21;8.639809282;Simulated
22;8.202218527;Simulated
23;8.186261991;Simulated
24;8.165410923;Simulated
