time;kw;Demand
1;7.58;Measured
2;7.70;Measured
3;7.70;Measured
4;7.52;Measured
5;7.54;Measured
6;7.48;Measured
7;10.94;Measured
8;50.22;Measured
9;97.50;Measured
10;116.42;Measured
11;127.50;Measured
12;139.84;Measured
13;146.04;Measured
14;161.90;Measured
15;171.04;Measured
16;163.92;Measured
17;142.94;Measured
18;99.08;Measured
19;61.90;Measured
20;33.62;Measured
21;16.12;Measured
22;10.04;Measured
23;7.82;Measured
24;7.68;Measured
1;7.74;Simulated
2;7.611096843;Simulated
3;7.508468596;Simulated
4;7.39935603;Simulated
5;7.29044284;Simulated
6;7.318493967;Simulated
7;7.486372786;Simulated
8;30.14023503;Simulated
9;185.9386608;Simulated
10;190.3384826;Simulated
11;192.5907835;Simulated
12;196.566322;Simulated
13;186.699659;Simulated
14;173.6162482;Simulated
15;179.5641619;Simulated
16;168.2519919;Simulated
17;149.7481349;Simulated
18;51.45050311;Simulated
19;25.74599801;Simulated
20;10.57566459;Simulated
21;8.378003724;Simulated
22;7.916543967;Simulated
23;7.869778366;Simulated
24;7.807992918;Simulated
