Date/Time,Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/01  01:00:00,5247.298319710488 
 04/01  02:00:00,4438.694917927761 
 04/01  03:00:00,3833.728181964077 
 04/01  04:00:00,2998.660826548183 
 04/01  05:00:00,2557.9751972903473 
 04/01  06:00:00,2548.8522875721615 
 04/01  07:00:00,3156.6974447839075 
 04/01  08:00:00,16879.876067912304 
 04/01  09:00:00,132362.54662717443 
 04/01  10:00:00,147412.38421791883 
 04/01  11:00:00,154774.966554158 
 04/01  12:00:00,158476.9519320966 
 04/01  13:00:00,150203.78542802289 
 04/01  14:00:00,140616.8805058276 
 04/01  15:00:00,145984.54186569525 
 04/01  16:00:00,135803.00282365705 
 04/01  17:00:00,119849.94837336375 
 04/01  18:00:00,41045.19838161342 
 04/01  19:00:00,20719.49632933881 
 04/01  20:00:00,8696.593801596146 
 04/01  21:00:00,6853.566488125194 
 04/01  22:00:00,6315.528121136307 
 04/01  23:00:00,6184.908839874733 
 04/01  24:00:00,5976.479637780568 
 04/02  01:00:00,5816.501753639721 
 04/02  02:00:00,5604.6644600170885 
 04/02  03:00:00,5418.260163146562 
 04/02  04:00:00,5365.588996860004 
 04/02  05:00:00,5283.009020609096 
 04/02  06:00:00,5276.298095449338 
 04/02  07:00:00,5551.919426928184 
 04/02  08:00:00,14967.440097395816 
 04/02  09:00:00,102244.65206787981 
 04/02  10:00:00,137854.564831685 
 04/02  11:00:00,148853.0141313407 
 04/02  12:00:00,144166.81478757796 
 04/02  13:00:00,141347.62638087633 
 04/02  14:00:00,159172.77673470486 
 04/02  15:00:00,175043.56766955285 
 04/02  16:00:00,170010.08397477857 
 04/02  17:00:00,164035.26699639925 
 04/02  18:00:00,85773.82775532814 
 04/02  19:00:00,57081.7503301242 
 04/02  20:00:00,40848.09343715492 
 04/02  21:00:00,6801.614669796602 
 04/02  22:00:00,6499.889189968616 
 04/02  23:00:00,6181.45408754305 
 04/02  24:00:00,5730.875436155174 
 04/03  01:00:00,5242.3694681998395 
 04/03  02:00:00,4748.194743550584 
 04/03  03:00:00,4252.282798242529 
 04/03  04:00:00,3715.028423211039 
 04/03  05:00:00,3192.234579441756 
 04/03  06:00:00,3346.202687820945 
 04/03  07:00:00,4202.736876304668 
 04/03  08:00:00,14025.080030400793 
 04/03  09:00:00,129157.60545840832 
 04/03  10:00:00,142482.862999204 
 04/03  11:00:00,150075.92881502005 
 04/03  12:00:00,153423.96836083325 
 04/03  13:00:00,147649.74975065943 
 04/03  14:00:00,141066.86464964666 
 04/03  15:00:00,148207.23037089446 
 04/03  16:00:00,137474.39018208005 
 04/03  17:00:00,115512.31350924181 
 04/03  18:00:00,36319.87321158365 
 04/03  19:00:00,17319.808960144903 
 04/03  20:00:00,6902.506840311485 
 04/03  21:00:00,6187.9004808945965 
 04/03  22:00:00,5565.58823519351 
 04/03  23:00:00,5323.001930010624 
 04/03  24:00:00,5056.754765761369 
 04/04  01:00:00,4844.171726456458 
 04/04  02:00:00,4604.88938282574 
 04/04  03:00:00,4330.621625207117 
 04/04  04:00:00,4112.0612530051085 
 04/04  05:00:00,3896.1073165653233 
 04/04  06:00:00,3906.7779173870117 
 04/04  07:00:00,4451.445379928604 
 04/04  08:00:00,15290.910801635977 
 04/04  09:00:00,97405.10715893544 
 04/04  10:00:00,134431.35311693364 
 04/04  11:00:00,136661.17809085409 
 04/04  12:00:00,132074.720966461 
 04/04  13:00:00,130631.88257994135 
 04/04  14:00:00,141972.42544945316 
 04/04  15:00:00,152502.4603784878 
 04/04  16:00:00,154284.2594271976 
 04/04  17:00:00,142593.667310425 
 04/04  18:00:00,68841.04524052258 
 04/04  19:00:00,47778.90066135488 
 04/04  20:00:00,32940.850806893075 
 04/04  21:00:00,6240.897339445106 
 04/04  22:00:00,5952.857596017381 
 04/04  23:00:00,5577.326403128413 
 04/04  24:00:00,5381.169012454743 
 04/05  01:00:00,5400.836339883612 
 04/05  02:00:00,5393.2541903550255 
 04/05  03:00:00,5055.694561649566 
 04/05  04:00:00,4536.373318835997 
 04/05  05:00:00,3981.165855562223 
 04/05  06:00:00,3973.7374065897366 
 04/05  07:00:00,4583.996943731662 
 04/05  08:00:00,17306.16343869573 
 04/05  09:00:00,99628.16589773695 
 04/05  10:00:00,116867.87863102158 
 04/05  11:00:00,125846.37433863479 
 04/05  12:00:00,129200.64492491838 
 04/05  13:00:00,128068.44026182998 
 04/05  14:00:00,134623.6714872678 
 04/05  15:00:00,143395.61626525643 
 04/05  16:00:00,134619.15045169233 
 04/05  17:00:00,111624.17202661686 
 04/05  18:00:00,42336.61710755621 
 04/05  19:00:00,24516.118070999964 
 04/05  20:00:00,16101.261929694248 
 04/05  21:00:00,11033.55796588384 
 04/05  22:00:00,5873.495547570078 
 04/05  23:00:00,5554.097329316835 
 04/05  24:00:00,5341.572938397125 
 04/06  01:00:00,5259.843956691301 
 04/06  02:00:00,5143.024802402785 
 04/06  03:00:00,4828.878043946413 
 04/06  04:00:00,4361.959523631279 
 04/06  05:00:00,3910.755524636181 
 04/06  06:00:00,3682.6041012679657 
 04/06  07:00:00,3719.693062233839 
 04/06  08:00:00,3987.497696261976 
 04/06  09:00:00,80987.52124125128 
 04/06  10:00:00,110626.71196830494 
 04/06  11:00:00,126837.01796220218 
 04/06  12:00:00,120651.64676130084 
 04/06  13:00:00,56014.550559775154 
 04/06  14:00:00,55736.626029290666 
 04/06  15:00:00,56832.7730787161 
 04/06  16:00:00,51241.28614663905 
 04/06  17:00:00,42744.16884198729 
 04/06  18:00:00,29358.137435112094 
 04/06  19:00:00,17338.04906178155 
 04/06  20:00:00,12728.818430785032 
 04/06  21:00:00,10401.233901036396 
 04/06  22:00:00,4998.740170701806 
 04/06  23:00:00,4825.140538397479 
 04/06  24:00:00,4579.812974872081 
 04/07  01:00:00,4348.778002464675 
 04/07  02:00:00,4111.833295788589 
 04/07  03:00:00,3999.4716115889883 
 04/07  04:00:00,3962.0419391517976 
 04/07  05:00:00,3914.0312233257487 
 04/07  06:00:00,4487.28852451219 
 04/07  07:00:00,5614.252655208241 
 04/07  08:00:00,6536.548186445271 
 04/07  09:00:00,6994.57120536525 
 04/07  10:00:00,7239.2329251209185 
 04/07  11:00:00,7340.4540580352505 
 04/07  12:00:00,7382.589168705014 
 04/07  13:00:00,7392.807686929114 
 04/07  14:00:00,7396.809105124991 
 04/07  15:00:00,7398.485297522551 
 04/07  16:00:00,7391.493109063032 
 04/07  17:00:00,7379.7360153147965 
 04/07  18:00:00,7363.962827014991 
 04/07  19:00:00,7347.891296088083 
 04/07  20:00:00,7310.975360619435 
 04/07  21:00:00,7135.751656323596 
 04/07  22:00:00,6849.580631917928 
 04/07  23:00:00,6571.917560215948 
 04/07  24:00:00,6363.243964072441 
 04/08  01:00:00,6254.505444714189 
 04/08  02:00:00,6041.93287640826 
 04/08  03:00:00,5663.125932000624 
 04/08  04:00:00,5195.7013702081795 
 04/08  05:00:00,4701.449604592594 
 04/08  06:00:00,4804.813225534511 
 04/08  07:00:00,5510.358719433344 
 04/08  08:00:00,21361.51291070411 
 04/08  09:00:00,145150.8514678343 
 04/08  10:00:00,156425.3925747868 
 04/08  11:00:00,161263.56388910136 
 04/08  12:00:00,164035.70640255558 
 04/08  13:00:00,155202.61146413917 
 04/08  14:00:00,144948.85198159933 
 04/08  15:00:00,150377.55180245217 
 04/08  16:00:00,140605.29400919647 
 04/08  17:00:00,124476.95853493626 
 04/08  18:00:00,42507.61763830024 
 04/08  19:00:00,21338.689451681785 
 04/08  20:00:00,8837.733758466924 
 04/08  21:00:00,6960.86901323931 
 04/08  22:00:00,6537.524973485274 
 04/08  23:00:00,6520.210412102047 
 04/08  24:00:00,6394.226401268628 
 04/09  01:00:00,6213.371612495789 
 04/09  02:00:00,5943.101690557766 
 04/09  03:00:00,5729.464421094744 
 04/09  04:00:00,5515.635778029008 
 04/09  05:00:00,5314.0576185070195 
 04/09  06:00:00,5605.980301035434 
 04/09  07:00:00,6243.736564560706 
 04/09  08:00:00,6656.580511098041 
 04/09  09:00:00,6775.9117723393165 
 04/09  10:00:00,7243.82765568954 
 04/09  11:00:00,7382.128157149161 
 04/09  12:00:00,7400.84557419581 
 04/09  13:00:00,7402.536337441049 
 04/09  14:00:00,7397.819197176291 
 04/09  15:00:00,7389.83399280038 
 04/09  16:00:00,7379.7360153147965 
 04/09  17:00:00,7368.299541154126 
 04/09  18:00:00,7326.293438663167 
 04/09  19:00:00,7130.511824633839 
 04/09  20:00:00,6933.0001967709295 
 04/09  21:00:00,6765.6367761596075 
 04/09  22:00:00,6567.263396581056 
 04/09  23:00:00,6383.0535260622355 
 04/09  24:00:00,6225.845836561784 
 04/10  01:00:00,5989.050114056026 
 04/10  02:00:00,5768.107098514574 
 04/10  03:00:00,5606.06734737031 
 04/10  04:00:00,5518.938635364127 
 04/10  05:00:00,5418.131395631521 
 04/10  06:00:00,5593.5010592445315 
 04/10  07:00:00,6199.374115663787 
 04/10  08:00:00,17899.90902471867 
 04/10  09:00:00,138081.40533489208 
 04/10  10:00:00,149597.44124107957 
 04/10  11:00:00,155267.78603488423 
 04/10  12:00:00,158475.4395918024 
 04/10  13:00:00,153049.0960426049 
 04/10  14:00:00,145465.71895548856 
 04/10  15:00:00,152122.8151151314 
 04/10  16:00:00,141113.27361900736 
 04/10  17:00:00,118961.51416662365 
 04/10  18:00:00,37286.98728801591 
 04/10  19:00:00,17601.43975812491 
 04/10  20:00:00,7084.858312187272 
 04/10  21:00:00,6565.603291435393 
 04/10  22:00:00,6110.332256508426 
 04/10  23:00:00,6074.791325668612 
 04/10  24:00:00,5979.0995659436185 
 04/11  01:00:00,5894.542560370185 
 04/11  02:00:00,5859.560758567205 
 04/11  03:00:00,5534.431499830651 
 04/11  04:00:00,5038.810606279818 
 04/11  05:00:00,4503.481489311939 
 04/11  06:00:00,4517.6142572453455 
 04/11  07:00:00,5119.1784797953305 
 04/11  08:00:00,16423.335290377272 
 04/11  09:00:00,98533.01159139916 
 04/11  10:00:00,133247.3395541615 
 04/11  11:00:00,134713.62723359976 
 04/11  12:00:00,131762.0854581494 
 04/11  13:00:00,132477.9212533655 
 04/11  14:00:00,145806.03913858263 
 04/11  15:00:00,157184.19715883406 
 04/11  16:00:00,158528.91515351935 
 04/11  17:00:00,146570.55977687686 
 04/11  18:00:00,70545.64985823246 
 04/11  19:00:00,49069.09902746859 
 04/11  20:00:00,34197.86191873607 
 04/11  21:00:00,6582.287264906775 
 04/11  22:00:00,6267.0642324246755 
 04/11  23:00:00,5759.204439014414 
 04/11  24:00:00,5273.4273561136615 
 04/12  01:00:00,4813.060829343084 
 04/12  02:00:00,4324.8549411828735 
 04/12  03:00:00,4025.4692105915797 
 04/12  04:00:00,3936.478661214977 
 04/12  05:00:00,3831.734240762876 
 04/12  06:00:00,4571.187004321918 
 04/12  07:00:00,6039.186092444797 
 04/12  08:00:00,21963.41597012123 
 04/12  09:00:00,111504.0038583327 
 04/12  10:00:00,126230.28143812095 
 04/12  11:00:00,131991.57336525559 
 04/12  12:00:00,134738.26694971554 
 04/12  13:00:00,135805.23847377415 
 04/12  14:00:00,143642.17081304125 
 04/12  15:00:00,152250.22839482886 
 04/12  16:00:00,142747.69926557036 
 04/12  17:00:00,118518.55819399325 
 04/12  18:00:00,44261.259532153636 
 04/12  19:00:00,25162.016220838068 
 04/12  20:00:00,16377.895866629835 
 04/12  21:00:00,11349.269002098465 
 04/12  22:00:00,6456.233115194914 
 04/12  23:00:00,6409.638888056538 
 04/12  24:00:00,6037.369543150864 
 04/13  01:00:00,5209.300307211783 
 04/13  02:00:00,4366.376611395638 
 04/13  03:00:00,3879.804553084459 
 04/13  04:00:00,3612.681721109065 
 04/13  05:00:00,3352.9546755198567 
 04/13  06:00:00,3962.824047350994 
 04/13  07:00:00,5323.445439483443 
 04/13  08:00:00,6479.631642838695 
 04/13  09:00:00,105653.44195138394 
 04/13  10:00:00,140651.4583316548 
 04/13  11:00:00,150628.14026630517 
 04/13  12:00:00,138767.3062740224 
 04/13  13:00:00,63472.39929018597 
 04/13  14:00:00,61216.80290374396 
 04/13  15:00:00,60517.83278920198 
 04/13  16:00:00,53739.55455970712 
 04/13  17:00:00,44705.05232755993 
 04/13  18:00:00,31378.883061502314 
 04/13  19:00:00,19276.950649651582 
 04/13  20:00:00,14579.69036607408 
 04/13  21:00:00,12442.149818284606 
 04/13  22:00:00,6257.718382776024 
 04/13  23:00:00,6191.668748268004 
 04/13  24:00:00,6048.546930426913 
 04/14  01:00:00,5791.895055434471 
 04/14  02:00:00,5560.257327388074 
 04/14  03:00:00,5319.8977842481 
 04/14  04:00:00,4961.228332435245 
 04/14  05:00:00,4602.860291330563 
 04/14  06:00:00,4936.696170255228 
 04/14  07:00:00,5760.834361560798 
 04/14  08:00:00,6446.954047378521 
 04/14  09:00:00,6848.698757931169 
 04/14  10:00:00,7221.797743346905 
 04/14  11:00:00,7378.472515995213 
 04/14  12:00:00,7402.944680184914 
 04/14  13:00:00,7424.749603551638 
 04/14  14:00:00,7434.383290440089 
 04/14  15:00:00,7423.70002041984 
 04/14  16:00:00,7398.218775567839 
 04/14  17:00:00,7368.693092012028 
 04/14  18:00:00,7094.559420416 
 04/14  19:00:00,6712.00699786502 
 04/14  20:00:00,6354.634632662003 
 04/14  21:00:00,6190.524507683721 
 04/14  22:00:00,6110.778823226162 
 04/14  23:00:00,6057.21187687912 
 04/14  24:00:00,5937.06771391802 
 04/15  01:00:00,5815.844568765443 
 04/15  02:00:00,5702.099117238245 
 04/15  03:00:00,5413.183866535014 
 04/15  04:00:00,5015.26037093897 
 04/15  05:00:00,4618.937326788796 
 04/15  06:00:00,4616.607797262001 
 04/15  07:00:00,4994.562914158957 
 04/15  08:00:00,19845.022211346484 
 04/15  09:00:00,140759.14714769225 
 04/15  10:00:00,152707.36509644317 
 04/15  11:00:00,158520.91854024583 
 04/15  12:00:00,160927.44696510826 
 04/15  13:00:00,151498.74911927165 
 04/15  14:00:00,141061.18378566099 
 04/15  15:00:00,146631.32603600439 
 04/15  16:00:00,136960.04660313377 
 04/15  17:00:00,121287.7030504935 
 04/15  18:00:00,41219.264667880896 
 04/15  19:00:00,20673.700971301834 
 04/15  20:00:00,8562.666262947292 
 04/15  21:00:00,6718.094314334437 
 04/15  22:00:00,6285.025239023719 
 04/15  23:00:00,6223.597840503575 
 04/15  24:00:00,5816.214097364449 
 04/16  01:00:00,5146.499727844166 
 04/16  02:00:00,4452.253022141576 
 04/16  03:00:00,4044.2812993985976 
 04/16  04:00:00,3967.310896330087 
 04/16  05:00:00,3858.8213925663094 
 04/16  06:00:00,4355.975449445001 
 04/16  07:00:00,5429.059915086276 
 04/16  08:00:00,15492.328536410214 
 04/16  09:00:00,104518.6004375386 
 04/16  10:00:00,139444.63951322408 
 04/16  11:00:00,148605.2501883154 
 04/16  12:00:00,143989.40527430594 
 04/16  13:00:00,142313.2421538848 
 04/16  14:00:00,161794.074678057 
 04/16  15:00:00,178515.8855793035 
 04/16  16:00:00,172815.06418185638 
 04/16  17:00:00,166028.24261029167 
 04/16  18:00:00,86049.88983579912 
 04/16  19:00:00,56373.15877146891 
 04/16  20:00:00,39522.84962515512 
 04/16  21:00:00,6349.948429620075 
 04/16  22:00:00,5969.138810668429 
 04/16  23:00:00,5475.595541621328 
 04/16  24:00:00,5396.128549301341 
 04/17  01:00:00,5608.306041403744 
 04/17  02:00:00,5814.929829796748 
 04/17  03:00:00,5624.627314204211 
 04/17  04:00:00,5205.599171515835 
 04/17  05:00:00,4792.385167454845 
 04/17  06:00:00,5079.901060181029 
 04/17  07:00:00,5986.334632316008 
 04/17  08:00:00,6665.041736684011 
 04/17  09:00:00,6994.638759860952 
 04/17  10:00:00,7185.51628209764 
 04/17  11:00:00,7329.370657592405 
 04/17  12:00:00,7367.979174262574 
 04/17  13:00:00,7375.561760624142 
 04/17  14:00:00,7383.287418317075 
 04/17  15:00:00,7393.483545067953 
 04/17  16:00:00,7398.485297522551 
 04/17  17:00:00,7395.051340784204 
