time;kw;Demand
1;9.50;Measured
2;8.63;Measured
3;8.85;Measured
4;8.03;Measured
5;7.90;Measured
6;7.88;Measured
7;10.43;Measured
8;45.10;Measured
9;85.80;Measured
10;106.03;Measured
11;113.68;Measured
12;116.10;Measured
13;122.78;Measured
14;133.65;Measured
15;132.93;Measured
16;129.45;Measured
17;121.00;Measured
18;86.45;Measured
19;67.35;Measured
20;48.10;Measured
21;23.63;Measured
22;9.48;Measured
23;9.10;Measured
24;8.90;Measured
1;4.295621209;Simulated
2;4.197115132;Simulated
3;4.070283922;Simulated
4;3.927024138;Simulated
5;3.783184505;Simulated
6;3.786135263;Simulated
7;4.016132447;Simulated
8;12.26660162;Simulated
9;72.92868257;Simulated
10;93.07209142;Simulated
11;91.39370632;Simulated
12;86.78977669;Simulated
13;84.77112537;Simulated
14;97.33766185;Simulated
15;108.3846342;Simulated
16;109.8660804;Simulated
17;100.993441;Simulated
18;50.98978365;Simulated
19;34.31434717;Simulated
20;22.87332205;Simulated
21;4.68773094;Simulated
22;4.56525037;Simulated
23;4.439052909;Simulated
24;4.333253405;Simulated
