time;kw;Demand
1;9.50;Measured
2;8.63;Measured
3;8.85;Measured
4;8.03;Measured
5;7.90;Measured
6;7.88;Measured
7;10.43;Measured
8;45.10;Measured
9;85.80;Measured
10;106.03;Measured
11;113.68;Measured
12;116.10;Measured
13;122.78;Measured
14;133.65;Measured
15;132.93;Measured
16;129.45;Measured
17;121.00;Measured
18;86.45;Measured
19;67.35;Measured
20;48.10;Measured
21;23.63;Measured
22;9.48;Measured
23;9.10;Measured
24;8.90;Measured
1;8.112619747;Simulated
2;8.091385596;Simulated
3;8.06157369;Simulated
4;8.019921619;Simulated
5;7.97738227;Simulated
6;7.969014795;Simulated
7;8.036273566;Simulated
8;19.61241244;Simulated
9;102.7240878;Simulated
10;131.1608743;Simulated
11;131.5879817;Simulated
12;127.018883;Simulated
13;126.8738441;Simulated
14;137.3042362;Simulated
15;147.7305561;Simulated
16;148.4800845;Simulated
17;136.9554872;Simulated
18;66.95494739;Simulated
19;48.58637202;Simulated
20;35.07167957;Simulated
21;8.223171803;Simulated
22;8.193168995;Simulated
23;8.159603732;Simulated
24;8.129474138;Simulated
