time;kw;Demand
1;9.50;Measured
2;8.63;Measured
3;8.85;Measured
4;8.03;Measured
5;7.90;Measured
6;7.88;Measured
7;10.43;Measured
8;45.10;Measured
9;85.80;Measured
10;106.03;Measured
11;113.68;Measured
12;116.10;Measured
13;122.78;Measured
14;133.65;Measured
15;132.93;Measured
16;129.45;Measured
17;121.00;Measured
18;86.45;Measured
19;67.35;Measured
20;48.10;Measured
21;23.63;Measured
22;9.48;Measured
23;9.10;Measured
24;8.90;Measured
1;8.076526142;Simulated
2;8.038300849;Simulated
3;7.979043075;Simulated
4;7.903873808;Simulated
5;7.829584765;Simulated
6;7.829586621;Simulated
7;7.953160535;Simulated
8;19.59085775;Simulated
9;101.8097119;Simulated
10;130.1599827;Simulated
11;129.7248133;Simulated
12;125.12838;Simulated
13;125.3770144;Simulated
14;135.9433119;Simulated
15;146.538171;Simulated
16;146.4233961;Simulated
17;135.4890716;Simulated
18;66.08313636;Simulated
19;47.11316751;Simulated
20;33.72546892;Simulated
21;8.22636142;Simulated
22;8.187218385;Simulated
23;8.138372573;Simulated
24;8.089621543;Simulated
