time;kw;Demand
1;9.50;Measured
2;8.63;Measured
3;8.85;Measured
4;8.03;Measured
5;7.90;Measured
6;7.88;Measured
7;10.43;Measured
8;45.10;Measured
9;85.80;Measured
10;106.03;Measured
11;113.68;Measured
12;116.10;Measured
13;122.78;Measured
14;133.65;Measured
15;132.93;Measured
16;129.45;Measured
17;121.00;Measured
18;86.45;Measured
19;67.35;Measured
20;48.10;Measured
21;23.63;Measured
22;9.48;Measured
23;9.10;Measured
24;8.90;Measured
1;6.261498913;Simulated
2;6.167798657;Simulated
3;6.041236832;Simulated
4;5.891444726;Simulated
5;5.742549862;Simulated
6;5.753079893;Simulated
7;6.012338662;Simulated
8;16.86877844;Simulated
9;92.84117301;Simulated
10;115.8342005;Simulated
11;114.9231785;Simulated
12;110.7194419;Simulated
13;110.9360498;Simulated
14;121.7978299;Simulated
15;131.9611868;Simulated
16;132.220807;Simulated
17;122.2222228;Simulated
18;60.05053226;Simulated
19;41.55618089;Simulated
20;28.31416735;Simulated
21;6.658731876;Simulated
22;6.53675298;Simulated
23;6.409777083;Simulated
24;6.304023387;Simulated
