1,1,2019-06-24,12:23:34,\N,\N,214,45.59,1.076,-37,0
2,8,2019-06-24,12:23:41,\N,\N,177,48.44,1.095,-30,0
3,1,2019-06-24,12:23:48,\N,\N,212,48.03,1.076,-38,0
4,8,2019-06-24,12:23:56,\N,\N,172,47.22,1.095,-31,0
5,1,2019-06-24,12:24:03,\N,\N,227,52.1,1.076,-39,0
6,8,2019-06-24,12:24:11,\N,\N,178,47.63,1.095,-31,0
7,1,2019-06-24,12:24:18,\N,\N,218,47.22,1.076,-39,0
8,8,2019-06-24,12:24:26,\N,\N,170,43.96,1.095,-31,0
9,1,2019-06-24,12:24:34,\N,\N,208,46.4,1.076,-39,0
10,8,2019-06-24,12:24:41,\N,\N,165,43.96,1.095,-29,0
11,1,2019-06-24,12:24:48,\N,\N,214,49.25,1.076,-38,0
12,8,2019-06-24,12:24:56,\N,\N,170,46.4,1.095,-31,0
13,1,2019-06-24,12:25:03,\N,\N,221,51.29,1.076,-39,0
14,8,2019-06-24,12:25:11,\N,\N,172,47.63,1.095,-31,0
15,1,2019-06-24,12:25:18,\N,\N,225,51.7,1.076,-37,0
16,8,2019-06-24,12:25:26,\N,\N,177,48.85,1.095,-30,0
17,1,2019-06-24,12:25:34,\N,\N,225,51.29,1.076,-39,0
18,8,2019-06-24,12:25:41,\N,\N,178,48.03,1.094,-30,0
19,1,2019-06-24,12:25:48,\N,\N,212,45.59,1.076,-42,0
20,8,2019-06-24,12:25:56,\N,\N,175,47.22,1.094,-32,0
21,1,2019-06-24,12:26:03,\N,\N,221,48.03,1.076,-38,0
22,8,2019-06-24,12:26:11,\N,\N,178,48.85,1.094,-32,0
23,1,2019-06-24,12:26:18,\N,\N,222,49.25,1.076,-38,0
24,8,2019-06-24,12:26:26,\N,\N,172,48.85,1.094,-32,0
25,1,2019-06-24,12:26:33,\N,\N,225,51.7,1.076,-38,0
26,8,2019-06-24,12:26:41,\N,\N,172,47.63,1.094,-32,0
27,1,2019-06-24,12:26:48,\N,\N,224,52.1,1.076,-38,0
28,8,2019-06-24,12:26:56,\N,\N,165,44.78,1.094,-32,0
29,1,2019-06-24,12:27:03,\N,\N,212,48.85,1.076,-38,0
30,8,2019-06-24,12:27:11,\N,\N,170,44.37,1.094,-32,0
31,1,2019-06-24,12:27:18,\N,\N,212,46,1.076,-37,0
32,8,2019-06-24,12:27:26,\N,\N,180,48.44,1.094,-32,0
