time;kw;Demand
1;8.73;Measured
2;8.73;Measured
3;8.65;Measured
4;8.50;Measured
5;8.60;Measured
6;8.23;Measured
7;9.48;Measured
8;18.95;Measured
9;46.85;Measured
10;60.38;Measured
11;67.65;Measured
12;60.30;Measured
13;43.38;Measured
14;42.03;Measured
15;39.38;Measured
16;36.35;Measured
17;30.40;Measured
18;25.03;Measured
19;18.23;Measured
20;11.40;Measured
21;9.38;Measured
22;8.33;Measured
23;7.88;Measured
24;7.63;Measured
1;6.245161966;Simulated
2;6.135849485;Simulated
3;6.009930499;Simulated
4;5.838080787;Simulated
5;5.65956965;Simulated
6;5.664511383;Simulated
7;5.917052885;Simulated
8;6.250451084;Simulated
9;96.01756547;Simulated
10;119.2967988;Simulated
11;124.2053261;Simulated
12;113.8677402;Simulated
13;52.45033327;Simulated
14;51.16219627;Simulated
15;51.32835902;Simulated
16;46.78312499;Simulated
17;39.59533614;Simulated
18;27.96761845;Simulated
19;17.42432669;Simulated
20;13.84973478;Simulated
21;12.09263377;Simulated
22;6.6310435;Simulated
23;6.568651588;Simulated
24;6.459673797;Simulated
