time;kw;Demand
1;8.73;Measured
2;8.73;Measured
3;8.65;Measured
4;8.50;Measured
5;8.60;Measured
6;8.23;Measured
7;9.48;Measured
8;18.95;Measured
9;46.85;Measured
10;60.38;Measured
11;67.65;Measured
12;60.30;Measured
13;43.38;Measured
14;42.03;Measured
15;39.38;Measured
16;36.35;Measured
17;30.40;Measured
18;25.03;Measured
19;18.23;Measured
20;11.40;Measured
21;9.38;Measured
22;8.33;Measured
23;7.88;Measured
24;7.63;Measured
1;7.668194113;Simulated
2;7.608492041;Simulated
3;7.529965015;Simulated
4;7.409745026;Simulated
5;7.274951789;Simulated
6;7.263810985;Simulated
7;7.409566519;Simulated
8;7.61230243;Simulated
9;102.8569862;Simulated
10;131.8726732;Simulated
11;136.9924019;Simulated
12;126.8702763;Simulated
13;60.10240424;Simulated
14;58.09928583;Simulated
15;57.14124743;Simulated
16;51.17867469;Simulated
17;43.27818417;Simulated
18;31.59194994;Simulated
19;20.71283872;Simulated
20;16.89295185;Simulated
21;14.81354109;Simulated
22;7.919965866;Simulated
23;7.886911898;Simulated
24;7.822731698;Simulated
