time;kw;Demand
1;8.73;Measured
2;8.73;Measured
3;8.65;Measured
4;8.50;Measured
5;8.60;Measured
6;8.23;Measured
7;9.48;Measured
8;18.95;Measured
9;46.85;Measured
10;60.38;Measured
11;67.65;Measured
12;60.30;Measured
13;43.38;Measured
14;42.03;Measured
15;39.38;Measured
16;36.35;Measured
17;30.40;Measured
18;25.03;Measured
19;18.23;Measured
20;11.40;Measured
21;9.38;Measured
22;8.33;Measured
23;7.88;Measured
24;7.63;Measured
1;4.258528266;Simulated
2;4.126870498;Simulated
3;3.988026469;Simulated
4;3.827622895;Simulated
5;3.674648447;Simulated
6;3.700921915;Simulated
7;3.949259416;Simulated
8;4.279937685;Simulated
9;74.24419457;Simulated
10;89.25408246;Simulated
11;94.84015067;Simulated
12;86.4673516;Simulated
13;39.95284182;Simulated
14;39.57033105;Simulated
15;40.6742923;Simulated
16;37.14194165;Simulated
17;31.02708352;Simulated
18;21.14236;Simulated
19;12.87822686;Simulated
20;10.05588304;Simulated
21;8.690545247;Simulated
22;4.61926508;Simulated
23;4.551914842;Simulated
24;4.442510408;Simulated
