Date/Time,AF305DAYLIGHTCONTROL:Daylighting Reference Point 1 Illuminance [lux](Hourly),AF305DAYLIGHTCONTROL:Daylighting Reference Point 2 Illuminance [lux](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/01  01:00:00,0.0,0.0,8262.444828131602 
 04/01  02:00:00,0.0,0.0,8116.543540978463 
 04/01  03:00:00,0.0,0.0,8060.010417868926 
 04/01  04:00:00,0.0,0.0,8001.350887247093 
 04/01  05:00:00,0.0,0.0,7939.82883330588 
 04/01  06:00:00,41.27702194453163,24.838173195066589,7917.712809964846 
 04/01  07:00:00,348.0675083933684,230.80437025598043,7992.207510037767 
 04/01  08:00:00,685.1106927098522,442.1076847208576,15865.639139758534 
 04/01  09:00:00,835.9207072118842,537.8685526861734,136751.74361446189 
 04/01  10:00:00,801.5259260633289,525.1369450529957,154024.45197618498 
 04/01  11:00:00,634.9770529988008,428.22746847801678,163242.14443321515 
 04/01  12:00:00,530.8235832989167,365.5428801050043,168078.5720790952 
 04/01  13:00:00,555.013843093217,374.23703901472569,160331.09367627224 
 04/01  14:00:00,615.5587584543867,397.9980117019625,152118.26985849517 
 04/01  15:00:00,566.1604494972784,353.65157625958138,158291.29259736857 
 04/01  16:00:00,466.39997806590898,284.5460382253779,146046.8410161094 
 04/01  17:00:00,291.56829038774046,175.44771292752737,127580.29928761635 
 04/01  18:00:00,56.75152394678967,32.94295625763428,43829.918898312106 
 04/01  19:00:00,0.0,0.0,21716.139592600666 
 04/01  20:00:00,0.0,0.0,8526.70940328951 
 04/01  21:00:00,0.0,0.0,6541.7351154613425 
 04/01  22:00:00,0.0,0.0,8390.449945051214 
 04/01  23:00:00,0.0,0.0,8342.929536223266 
 04/01  24:00:00,0.0,0.0,8329.116136131604 
 04/02  01:00:00,0.0,0.0,8317.14776544801 
 04/02  02:00:00,0.0,0.0,8300.46362939996 
 04/02  03:00:00,0.0,0.0,8283.371467849569 
 04/02  04:00:00,0.0,0.0,8281.460261026472 
 04/02  05:00:00,0.0,0.0,8279.301356055219 
 04/02  06:00:00,37.476667925688428,22.911802343516667,8277.789942551526 
 04/02  07:00:00,297.5380735533637,199.95020635128038,8279.380773963785 
 04/02  08:00:00,581.954043333043,379.6387798385722,14764.085866657553 
 04/02  09:00:00,799.1332238577503,516.1050725242703,108878.74034104462 
 04/02  10:00:00,793.4085758600022,520.5505221495836,146959.70804479766 
 04/02  11:00:00,616.0834095616277,416.4789188114489,160366.35572554309 
 04/02  12:00:00,425.5742406541872,298.45214842209608,156430.72967472074 
 04/02  13:00:00,406.99439257734977,279.0996142993586,154380.38885373504 
 04/02  14:00:00,476.0402531590575,309.0670967729962,172871.00306897515 
 04/02  15:00:00,481.0277226211072,300.8281609824698,189313.85360887668 
 04/02  16:00:00,400.2401955380392,245.6650463143665,181919.86194244014 
 04/02  17:00:00,262.5285673311853,159.99471435242359,175444.89000762045 
 04/02  18:00:00,43.64803867030128,26.165103808054075,92228.78937036575 
 04/02  19:00:00,0.0,0.0,60122.915982510516 
 04/02  20:00:00,0.0,0.0,41658.138439108756 
 04/02  21:00:00,0.0,0.0,6727.692286505359 
 04/02  22:00:00,0.0,0.0,8411.985708341528 
 04/02  23:00:00,0.0,0.0,8327.574335249978 
 04/02  24:00:00,0.0,0.0,8273.89940696131 
 04/03  01:00:00,0.0,0.0,8226.010408290438 
 04/03  02:00:00,0.0,0.0,8185.959334921721 
 04/03  03:00:00,0.0,0.0,8139.804057888916 
 04/03  04:00:00,0.0,0.0,8100.004211335358 
 04/03  05:00:00,0.0,0.0,8060.049945651413 
 04/03  06:00:00,26.323447404880978,17.328686520720138,8049.786801819401 
 04/03  07:00:00,237.8961327305842,161.38899425196204,8121.305426959206 
 04/03  08:00:00,533.7202085280176,347.8662192378899,12949.089367668936 
 04/03  09:00:00,783.2034230749096,506.3038164182728,135936.32182298412 
 04/03  10:00:00,799.0174869240562,523.9063626377185,149840.3540000443 
 04/03  11:00:00,621.5704847665121,419.90352816004136,158905.81006860097 
 04/03  12:00:00,438.0579710779078,306.4056096738938,162643.44428657267 
 04/03  13:00:00,439.16157562159295,300.08966814984827,157297.2127691137 
 04/03  14:00:00,517.556438105184,335.48099580716515,151807.80588528637 
 04/03  15:00:00,482.05110502675719,301.5025119483441,158527.94195488993 
 04/03  16:00:00,393.2929573286622,241.97452112705188,145106.65743710273 
 04/03  17:00:00,235.53356853904959,144.37429555438335,120575.88144427499 
 04/03  18:00:00,43.72935284133728,26.224262962128397,38196.921109673414 
 04/03  19:00:00,0.0,0.0,17748.540040808133 
 04/03  20:00:00,0.0,0.0,6503.152157374618 
 04/03  21:00:00,0.0,0.0,5827.1938844942115 
 04/03  22:00:00,0.0,0.0,8371.203993567628 
 04/03  23:00:00,0.0,0.0,8288.383548538966 
 04/03  24:00:00,0.0,0.0,8255.427511135464 
 04/04  01:00:00,0.0,0.0,8229.764983973078 
 04/04  02:00:00,0.0,0.0,8202.815865314962 
 04/04  03:00:00,0.0,0.0,8173.491496414758 
 04/04  04:00:00,0.0,0.0,8142.79412474688 
 04/04  05:00:00,0.0,0.0,8119.279888006349 
 04/04  06:00:00,15.922993774330826,10.464650211966108,8110.778108620486 
 04/04  07:00:00,128.21703864059325,84.38641440412288,8177.301535524765 
 04/04  08:00:00,308.0554432127797,198.41957955505095,14561.92350074077 
 04/04  09:00:00,487.083280360042,315.6009030325029,102412.49231356489 
 04/04  10:00:00,548.639615400226,360.889636421075,141992.45615215714 
 04/04  11:00:00,527.8832516033399,353.7479827897082,146778.1472269291 
 04/04  12:00:00,473.377935114695,319.54940218382429,142707.97659685589 
 04/04  13:00:00,451.5951092713155,302.5554006691616,141489.89323726245 
 04/04  14:00:00,448.07739693994287,292.4158594244787,153341.45368129345 
 04/04  15:00:00,437.46384348982277,277.4113526075634,164799.22933543146 
 04/04  16:00:00,344.1484067643806,215.08834705570374,164516.9365765137 
 04/04  17:00:00,191.95282903797046,120.27913472895303,151456.44769449006 
 04/04  18:00:00,28.862601925770347,17.919459542942034,73814.07743404318 
