Date/Time,Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/01  01:00:00,9434.461233597101 
 04/01  02:00:00,7295.832699248716 
 04/01  03:00:00,5676.419321862006 
 04/01  04:00:00,3444.4522001999867 
 04/01  05:00:00,2512.7673723304993 
 04/01  06:00:00,2506.54676149656 
 04/01  07:00:00,3870.445483978501 
 04/01  08:00:00,29155.030364896156 
 04/01  09:00:00,244940.9228183589 
 04/01  10:00:00,279174.22678985478 
 04/01  11:00:00,300611.86906794286 
 04/01  12:00:00,312491.7755915702 
 04/01  13:00:00,306523.02995498848 
 04/01  14:00:00,299829.11656004187 
 04/01  15:00:00,307085.3492279548 
 04/01  16:00:00,279680.35949987717 
 04/01  17:00:00,245340.21906657367 
 04/01  18:00:00,85338.1163508841 
 04/01  19:00:00,44166.331145096745 
 04/01  20:00:00,16805.070181932977 
 04/01  21:00:00,13233.918911127626 
 04/01  22:00:00,12372.276812978327 
 04/01  23:00:00,11934.27318515983 
 04/01  24:00:00,11387.364637122728 
 04/02  01:00:00,10970.729619835112 
 04/02  02:00:00,10412.627502486297 
 04/02  03:00:00,9921.562510285119 
 04/02  04:00:00,9786.924823589885 
 04/02  05:00:00,9569.262792410453 
 04/02  06:00:00,9558.404844265766 
 04/02  07:00:00,10306.945099292161 
 04/02  08:00:00,30433.304476544832 
 04/02  09:00:00,205732.23459065878 
 04/02  10:00:00,280131.5252304427 
 04/02  11:00:00,307508.92487564447 
 04/02  12:00:00,302957.50412035928 
 04/02  13:00:00,305408.8530839309 
 04/02  14:00:00,337653.68362541039 
 04/02  15:00:00,363987.68173648926 
 04/02  16:00:00,343091.84837928108 
 04/02  17:00:00,331282.4944757219 
 04/02  18:00:00,169633.32440240938 
 04/02  19:00:00,105466.43728647054 
 04/02  20:00:00,71338.12887618055 
 04/02  21:00:00,13812.470346277916 
 04/02  22:00:00,13012.644001395956 
 04/02  23:00:00,12010.417648791263 
 04/02  24:00:00,10785.960990135374 
 04/03  01:00:00,9486.440937475285 
 04/03  02:00:00,8159.7716599915875 
 04/03  03:00:00,6842.641525538547 
 04/03  04:00:00,5416.353878545423 
 04/03  05:00:00,4047.126263183464 
 04/03  06:00:00,4498.944569199171 
 04/03  07:00:00,6814.94829144684 
 04/03  08:00:00,28335.106646496923 
 04/03  09:00:00,252682.00535220118 
 04/03  10:00:00,280917.75930332209 
 04/03  11:00:00,301136.9942441072 
 04/03  12:00:00,311356.30117337356 
 04/03  13:00:00,307401.0575664959 
 04/03  14:00:00,302758.1490603904 
 04/03  15:00:00,309206.13422734118 
 04/03  16:00:00,277132.04045955088 
 04/03  17:00:00,230370.4478664537 
 04/03  18:00:00,73991.62917377414 
 04/03  19:00:00,36345.38841447121 
 04/03  20:00:00,12580.053726850072 
 04/03  21:00:00,11361.132726305686 
 04/03  22:00:00,10398.469109845171 
 04/03  23:00:00,9751.008069335878 
 04/03  24:00:00,9039.398713992525 
 04/04  01:00:00,8474.196120005303 
 04/04  02:00:00,7837.065939592547 
 04/04  03:00:00,7105.54409039421 
 04/04  04:00:00,6524.383450581229 
 04/04  05:00:00,5946.457538647039 
 04/04  06:00:00,5974.649694107927 
 04/04  07:00:00,7421.824436748345 
 04/04  08:00:00,31377.22337464103 
 04/04  09:00:00,193803.48747580526 
 04/04  10:00:00,266272.39096616589 
 04/04  11:00:00,281940.06239248506 
 04/04  12:00:00,278070.5425014204 
 04/04  13:00:00,282058.0730504272 
 04/04  14:00:00,303605.188471481 
 04/04  15:00:00,322574.9851763249 
 04/04  16:00:00,308930.9134335352 
 04/04  17:00:00,283950.06356011939 
 04/04  18:00:00,131145.7462384285 
 04/04  19:00:00,83166.45763598496 
 04/04  20:00:00,51915.94943083231 
 04/04  21:00:00,12213.706294392696 
 04/04  22:00:00,11414.813790601147 
 04/04  23:00:00,10420.33892094498 
 04/04  24:00:00,9905.321648571275 
 04/05  01:00:00,9966.98261693487 
 04/05  02:00:00,9951.750344223821 
 04/05  03:00:00,9049.310571245005 
 04/05  04:00:00,7666.569172707913 
 04/05  05:00:00,6188.12263414774 
 04/05  06:00:00,6181.631158536489 
 04/05  07:00:00,7816.205317996294 
 04/05  08:00:00,33243.915670048744 
 04/05  09:00:00,197477.74746568429 
 04/05  10:00:00,231561.3495770845 
 04/05  11:00:00,253083.96903759978 
 04/05  12:00:00,262985.8748949596 
 04/05  13:00:00,261061.4025341874 
 04/05  14:00:00,274474.0563458038 
 04/05  15:00:00,290263.55269599388 
 04/05  16:00:00,266243.67391111989 
 04/05  17:00:00,219342.58017985547 
 04/05  18:00:00,79605.30652332497 
 04/05  19:00:00,43629.26773150198 
 04/05  20:00:00,26624.4743120161 
 04/05  21:00:00,18916.9641999996 
 04/05  22:00:00,11183.993313827568 
 04/05  23:00:00,10336.71925186294 
 04/05  24:00:00,9776.913271909923 
 04/06  01:00:00,9568.180134349794 
 04/06  02:00:00,9254.057608103702 
 04/06  03:00:00,8418.758260650133 
 04/06  04:00:00,7190.094156103792 
 04/06  05:00:00,6024.26485665953 
 04/06  06:00:00,5435.234349719372 
 04/06  07:00:00,5546.482955675386 
 04/06  08:00:00,6259.944413856177 
 04/06  09:00:00,146003.5597328459 
 04/06  10:00:00,205386.440441141 
 04/06  11:00:00,243513.08090887729 
 04/06  12:00:00,241177.39823136712 
 04/06  13:00:00,114875.21684600324 
 04/06  14:00:00,117478.86185105932 
 04/06  15:00:00,119827.45941303655 
 04/06  16:00:00,109026.27993210894 
 04/06  17:00:00,91158.88839537009 
 04/06  18:00:00,61244.25589237516 
 04/06  19:00:00,33641.77199454885 
 04/06  20:00:00,23543.21740125447 
 04/06  21:00:00,18739.719183654684 
 04/06  22:00:00,8899.696646694638 
 04/06  23:00:00,8434.699815244183 
 04/06  24:00:00,7779.220040833363 
 04/07  01:00:00,7161.1424724452345 
 04/07  02:00:00,6526.047657284683 
 04/07  03:00:00,6226.289156874068 
 04/07  04:00:00,6128.575878735671 
 04/07  05:00:00,6001.831911700017 
 04/07  06:00:00,7545.662984176437 
 04/07  07:00:00,10556.727402082472 
 04/07  08:00:00,13119.675857841707 
 04/07  09:00:00,14335.600027001625 
 04/07  10:00:00,14982.01184443904 
 04/07  11:00:00,15264.591009773534 
 04/07  12:00:00,15379.740869494919 
 04/07  13:00:00,15414.814370157916 
 04/07  14:00:00,15425.4340586003 
 04/07  15:00:00,15429.882641617673 
 04/07  16:00:00,15411.325505288603 
 04/07  17:00:00,15380.122400168833 
 04/07  18:00:00,15338.260655835404 
 04/07  19:00:00,15295.60711579511 
 04/07  20:00:00,15165.79177963324 
 04/07  21:00:00,14694.301158107577 
 04/07  22:00:00,13939.668436885064 
 04/07  23:00:00,13205.05169260822 
 04/07  24:00:00,12629.42838280768 
 04/08  01:00:00,12230.5750541682 
 04/08  02:00:00,11672.939106267127 
 04/08  03:00:00,10666.406653013191 
 04/08  04:00:00,9421.40759210201 
 04/08  05:00:00,8102.870242038328 
 04/08  06:00:00,8390.977512359403 
 04/08  07:00:00,10277.874577311673 
 04/08  08:00:00,41685.13836576879 
 04/08  09:00:00,284572.065072939 
 04/08  10:00:00,307409.38265577328 
 04/08  11:00:00,320996.6856942852 
 04/08  12:00:00,329755.49659606479 
 04/08  13:00:00,322773.19284472308 
 04/08  14:00:00,313374.6399644427 
 04/08  15:00:00,320995.4746741115 
 04/08  16:00:00,294565.7345648782 
 04/08  17:00:00,259959.70074798438 
 04/08  18:00:00,89998.26779368914 
 04/08  19:00:00,45998.131045919465 
 04/08  20:00:00,17242.875912346473 
 04/08  21:00:00,13581.311367163922 
 04/08  22:00:00,13154.39624116171 
 04/08  23:00:00,13114.861028561643 
 04/08  24:00:00,12766.134618772827 
 04/09  01:00:00,12154.620958812027 
 04/09  02:00:00,11442.54016504892 
 04/09  03:00:00,10877.582270453186 
 04/09  04:00:00,10308.299428085149 
 04/09  05:00:00,9771.36400726708 
 04/09  06:00:00,10560.590559445749 
 04/09  07:00:00,12304.664935422974 
 04/09  08:00:00,13484.867564179565 
 04/09  09:00:00,13788.229489841782 
 04/09  10:00:00,15023.054980555375 
 04/09  11:00:00,15386.471099491768 
 04/09  12:00:00,15436.146771403866 
 04/09  13:00:00,15440.634025176229 
 04/09  14:00:00,15428.114823858472 
 04/09  15:00:00,15406.922242011295 
 04/09  16:00:00,15380.122400168833 
 04/09  17:00:00,15349.77021338896 
 04/09  18:00:00,15217.542311342317 
 04/09  19:00:00,14698.509891908388 
 04/09  20:00:00,14180.186489335349 
 04/09  21:00:00,13739.958173308054 
 04/09  22:00:00,13216.12469495418 
 04/09  23:00:00,12729.763265700434 
 04/09  24:00:00,12170.711711172566 
 04/10  01:00:00,11532.495959358086 
 04/10  02:00:00,10951.370254257958 
 04/10  03:00:00,10525.24945064628 
 04/10  04:00:00,10296.23962190269 
 04/10  05:00:00,10026.807726678375 
 04/10  06:00:00,10500.527662586559 
 04/10  07:00:00,12164.569060257018 
 04/10  08:00:00,38121.383938697974 
 04/10  09:00:00,279035.28627326196 
 04/10  10:00:00,300039.59285350577 
 04/10  11:00:00,314331.3983085832 
 04/10  12:00:00,324282.659860024 
 04/10  13:00:00,321262.1743607123 
 04/10  14:00:00,313917.79666833378 
 04/10  15:00:00,319862.1841001421 
 04/10  16:00:00,286241.4696347652 
 04/10  17:00:00,238319.49859093387 
 04/10  18:00:00,75691.6339410461 
 04/10  19:00:00,37127.81447719622 
 04/10  20:00:00,13124.598887217811 
 04/10  21:00:00,12321.31766809453 
 04/10  22:00:00,11813.663821932365 
 04/10  23:00:00,11722.429593866496 
 04/10  24:00:00,11467.9527891235 
 04/11  01:00:00,11244.698591483082 
 04/11  02:00:00,11153.870385977452 
 04/11  03:00:00,10280.77152762664 
 04/11  04:00:00,8953.597197698802 
 04/11  05:00:00,7519.069207889697 
 04/11  06:00:00,7564.090977712186 
 04/11  07:00:00,9174.178802272188 
 04/11  08:00:00,33842.555773164655 
 04/11  09:00:00,198215.06805796419 
 04/11  10:00:00,261459.98070357296 
 04/11  11:00:00,274909.0559441938 
 04/11  12:00:00,276144.5890947509 
 04/11  13:00:00,286167.85803115737 
 04/11  14:00:00,314023.7827427475 
 04/11  15:00:00,335495.57717664146 
 04/11  16:00:00,320740.9258866639 
 04/11  17:00:00,295030.6530128078 
 04/11  18:00:00,135236.19744295049 
 04/11  19:00:00,86467.95390867333 
 04/11  20:00:00,55252.0439516512 
 04/11  21:00:00,13237.527250616115 
 04/11  22:00:00,12303.849102765476 
 04/11  23:00:00,10883.595787369637 
 04/11  24:00:00,9596.113078314871 
 04/12  01:00:00,8368.12026314112 
 04/12  02:00:00,7061.888578395658 
 04/12  03:00:00,6260.432459052783 
 04/12  04:00:00,6020.585050688314 
 04/12  05:00:00,5733.9730444305 
 04/12  06:00:00,7725.846853314925 
 04/12  07:00:00,11693.729349445834 
 04/12  08:00:00,45584.38601264771 
 04/12  09:00:00,232978.79485227247 
 04/12  10:00:00,258946.51143447893 
 04/12  11:00:00,270447.7937199381 
 04/12  12:00:00,278263.9075020796 
 04/12  13:00:00,282774.35517582527 
 04/12  14:00:00,300302.08016746837 
 04/12  15:00:00,316612.1252434664 
 04/12  16:00:00,291407.52153100419 
 04/12  17:00:00,241289.5751459966 
 04/12  18:00:00,85374.54057523313 
 04/12  19:00:00,45507.67723991136 
 04/12  20:00:00,27502.067675602793 
 04/12  21:00:00,20002.14303494678 
 04/12  22:00:00,12929.976542963037 
 04/12  23:00:00,12812.04266172107 
 04/12  24:00:00,11669.368509329493 
 04/13  01:00:00,9464.080705674909 
 04/13  02:00:00,7215.1822118771115 
 04/13  03:00:00,5921.823658732469 
 04/13  04:00:00,5213.284477035595 
 04/13  05:00:00,4518.451646021543 
 04/13  06:00:00,6163.054745188412 
 04/13  07:00:00,9799.434224097044 
 04/13  08:00:00,12978.593237020665 
 04/13  09:00:00,218528.4704495148 
 04/13  10:00:00,290842.6397609171 
 04/13  11:00:00,312349.3662775815 
 04/13  12:00:00,293046.6985720655 
 04/13  13:00:00,133982.35983002213 
 04/13  14:00:00,131152.00317773157 
 04/13  15:00:00,129145.13272784902 
 04/13  16:00:00,115650.35653007578 
 04/13  17:00:00,96403.42356192129 
 04/13  18:00:00,65924.34619107009 
 04/13  19:00:00,38017.79678963649 
 04/13  20:00:00,28135.715336518362 
 04/13  21:00:00,23935.510223027206 
 04/13  22:00:00,12230.570920793738 
 04/13  23:00:00,12013.520984767805 
 04/13  24:00:00,11633.441366369982 
 04/14  01:00:00,10943.738793232436 
 04/14  02:00:00,10321.552330269433 
 04/14  03:00:00,9678.118748393972 
 04/14  04:00:00,8718.933801364783 
 04/14  05:00:00,7762.916733213892 
 04/14  06:00:00,8677.383968422282 
 04/14  07:00:00,10892.25268031776 
 04/14  08:00:00,12867.145277502555 
 04/14  09:00:00,13932.749405220513 
 04/14  10:00:00,14922.689858629486 
 04/14  11:00:00,15374.177318277014 
 04/14  12:00:00,15441.717759118867 
 04/14  13:00:00,15499.5876145874 
 04/14  14:00:00,15525.155237939585 
 04/14  15:00:00,15496.802040746217 
 04/14  16:00:00,15429.175297375315 
 04/14  17:00:00,15350.814689945155 
 04/14  18:00:00,14534.819509125466 
 04/14  19:00:00,13544.144029181181 
 04/14  20:00:00,12584.23372304858 
 04/14  21:00:00,12011.860252277495 
 04/14  22:00:00,11802.66360570568 
 04/14  23:00:00,11670.120536603397 
 04/14  24:00:00,11356.253977400578 
 04/15  01:00:00,11039.747060258802 
 04/15  02:00:00,10740.531573999067 
 04/15  03:00:00,9971.211690622566 
 04/15  04:00:00,8910.414367069672 
 04/15  05:00:00,7848.327884709262 
 04/15  06:00:00,7846.912998259663 
 04/15  07:00:00,8890.366682909047 
 04/15  08:00:00,37339.86118459174 
 04/15  09:00:00,272131.5630887255 
 04/15  10:00:00,296612.6498287889 
 04/15  11:00:00,313372.69056369559 
 04/15  12:00:00,321741.3283291872 
 04/15  13:00:00,312627.9712345616 
 04/15  14:00:00,302889.95961250239 
 04/15  15:00:00,310713.8341976287 
 04/15  16:00:00,284993.15840137816 
 04/15  17:00:00,251508.07305056379 
 04/15  18:00:00,86802.58576815222 
 04/15  19:00:00,44378.29428639725 
 04/15  20:00:00,16546.88413398238 
 04/15  21:00:00,12916.690747060828 
 04/15  22:00:00,12400.803101818834 
 04/15  23:00:00,12215.002658421583 
 04/15  24:00:00,11127.621249994147 
 04/16  01:00:00,9337.284597447348 
 04/16  02:00:00,7476.272447902848 
 04/16  03:00:00,6382.9368920538245 
 04/16  04:00:00,6171.235395572552 
 04/16  05:00:00,5870.209120025025 
 04/16  06:00:00,7203.908723084413 
 04/16  07:00:00,10069.400958745384 
 04/16  08:00:00,32732.25806735556 
 04/16  09:00:00,214420.7004931795 
 04/16  10:00:00,284161.4948568452 
 04/16  11:00:00,306969.0198328824 
 04/16  12:00:00,302737.6370728013 
 04/16  13:00:00,308420.9858585601 
 04/16  14:00:00,345890.56657791617 
 04/16  15:00:00,374499.8954231779 
 04/16  16:00:00,352436.35780158758 
 04/16  17:00:00,337745.07987071145 
 04/16  18:00:00,170576.30871576983 
 04/16  19:00:00,103479.169992494 
 04/16  20:00:00,67656.91878196101 
 04/16  21:00:00,12580.6306894124 
 04/16  22:00:00,11391.990485246104 
 04/16  23:00:00,10080.496104950824 
 04/16  24:00:00,9876.449459025007 
 04/17  01:00:00,10455.395759470588 
 04/17  02:00:00,11012.726706419666 
 04/17  03:00:00,10499.720869094343 
 04/17  04:00:00,9379.139561707178 
 04/17  05:00:00,8272.710641075755 
 04/17  06:00:00,9059.896815131095 
 04/17  07:00:00,11514.996626834509 
 04/17  08:00:00,13463.177504359 
 04/17  09:00:00,14325.652048992844 
 04/17  10:00:00,14818.634620892759 
 04/17  11:00:00,15216.486737902133 
 04/17  12:00:00,15348.919965699519 
 04/17  13:00:00,15369.044006928269 
 04/17  14:00:00,15389.547756772748 
 04/17  15:00:00,15416.608084914633 
 04/17  16:00:00,15429.882641617673 
 04/17  17:00:00,15420.11953390979 
 04/17  18:00:00,15276.034003510957 
 04/17  19:00:00,14527.172701900037 
 04/17  20:00:00,13642.920816834536 
 04/17  21:00:00,13106.58150640366 
 04/17  22:00:00,12355.955035436544 
 04/17  23:00:00,11390.759665928386 
 04/17  24:00:00,10473.6094744409 
 04/18  01:00:00,9635.266404448686 
 04/18  02:00:00,8789.985833070705 
 04/18  03:00:00,8128.761913292129 
 04/18  04:00:00,7473.0562945673055 
 04/18  05:00:00,6836.8264416709535 
 04/18  06:00:00,7791.853969693414 
 04/18  07:00:00,10234.84620248907 
 04/18  08:00:00,12602.044736480437 
 04/18  09:00:00,13804.30794957905 
 04/18  10:00:00,14581.615489372916 
 04/18  11:00:00,15236.097263067226 
 04/18  12:00:00,15403.548019816948 
 04/18  13:00:00,15442.44991092824 
 04/18  14:00:00,15451.477935777604 
 04/18  15:00:00,15396.910852656887 
 04/18  16:00:00,14743.147791641086 
 04/18  17:00:00,13712.915929014436 
 04/18  18:00:00,13091.339935440488 
 04/18  19:00:00,12819.003611192597 
 04/18  20:00:00,12538.294368114883 
 04/18  21:00:00,11950.835549978052 
 04/18  22:00:00,11144.18379189237 
 04/18  23:00:00,10432.294946680318 
 04/18  24:00:00,10078.31110173479 
 04/19  01:00:00,9878.385565701108 
 04/19  02:00:00,9757.804750979325 
 04/19  03:00:00,8916.618172389555 
 04/19  04:00:00,7357.964385635 
 04/19  05:00:00,5820.385021285311 
 04/19  06:00:00,6817.70593056731 
 04/19  07:00:00,10120.749560344664 
 04/19  08:00:00,13220.920281550672 
 04/19  09:00:00,14597.292584555107 
 04/19  10:00:00,15234.413918500468 
 04/19  11:00:00,15381.004508691103 
 04/19  12:00:00,15416.608084914633 
 04/19  13:00:00,15442.44991092824 
 04/19  14:00:00,15445.144839074497 
 04/19  15:00:00,15421.913993786113 
 04/19  16:00:00,15378.47507457268 
 04/19  17:00:00,15310.721297385173 
 04/19  18:00:00,14846.21192309563 
 04/19  19:00:00,14018.957737790026 
 04/19  20:00:00,13165.944193857793 
 04/19  21:00:00,12490.86100824018 
 04/19  22:00:00,11482.054734303807 
 04/19  23:00:00,10407.20291149981 
 04/19  24:00:00,9586.29415321666 
 04/20  01:00:00,9470.734587754714 
 04/20  02:00:00,9338.984875195558 
 04/20  03:00:00,8442.421431143961 
 04/20  04:00:00,6751.614654378001 
 04/20  05:00:00,5006.210997388985 
 04/20  06:00:00,6574.344373611651 
 04/20  07:00:00,10485.646777798751 
 04/20  08:00:00,13383.366219180118 
 04/20  09:00:00,14535.86414113589 
 04/20  10:00:00,15133.60892042891 
 04/20  11:00:00,15329.32632536722 
 04/20  12:00:00,15360.658970762452 
 04/20  13:00:00,15389.547756772748 
 04/20  14:00:00,15404.28805720571 
 04/20  15:00:00,15390.429357225506 
 04/20  16:00:00,15353.96162599651 
 04/20  17:00:00,15241.250307951565 
 04/20  18:00:00,14809.136988169796 
 04/20  19:00:00,14448.629354004683 
 04/20  20:00:00,14187.194902556379 
 04/20  21:00:00,13852.521101701097 
 04/20  22:00:00,13566.984502816626 
 04/20  23:00:00,13175.056267658676 
 04/20  24:00:00,12355.097360100495 
 04/21  01:00:00,11105.944766217777 
 04/21  02:00:00,9764.941464388578 
 04/21  03:00:00,9087.441032159133 
 04/21  04:00:00,8843.393572617179 
 04/21  05:00:00,8682.606300210959 
 04/21  06:00:00,9563.432786161065 
 04/21  07:00:00,11498.46941209725 
 04/21  08:00:00,13092.452577642382 
 04/21  09:00:00,14189.411670050671 
 04/21  10:00:00,15106.130464694079 
 04/21  11:00:00,15397.413914783314 
 04/21  12:00:00,15444.29829399942 
 04/21  13:00:00,15481.806171565375 
 04/21  14:00:00,15502.356905209395 
 04/21  15:00:00,15493.911816960872 
 04/21  16:00:00,15458.8180322397 
 04/21  17:00:00,15409.630472248502 
 04/21  18:00:00,15326.478387989393 
 04/21  19:00:00,14723.78653475446 
 04/21  20:00:00,13880.631508813422 
 04/21  21:00:00,13186.986470651587 
 04/21  22:00:00,12464.379182828146 
 04/21  23:00:00,11322.828429519739 
 04/21  24:00:00,10095.047984906952 
 04/22  01:00:00,8823.231245501389 
 04/22  02:00:00,7501.1965873480185 
 04/22  03:00:00,7037.067535087098 
 04/22  04:00:00,6946.452861389044 
 04/22  05:00:00,6876.986839157772 
 04/22  06:00:00,8719.355803700175 
 04/22  07:00:00,11759.671949789323 
 04/22  08:00:00,45200.820966272324 
 04/22  09:00:00,293734.24678327419 
 04/22  10:00:00,309318.0053444509 
 04/22  11:00:00,316336.0162501274 
 04/22  12:00:00,321400.51379402939 
 04/22  13:00:00,314377.1992276786 
 04/22  14:00:00,307176.1018758413 
 04/22  15:00:00,315720.7269208823 
 04/22  16:00:00,289776.6398538765 
 04/22  17:00:00,255342.83432786447 
 04/22  18:00:00,87580.75763208122 
 04/22  19:00:00,44310.889560672986 
 04/22  20:00:00,16121.761633963453 
 04/22  21:00:00,11924.626619385524 
 04/22  22:00:00,10498.136102908114 
 04/22  23:00:00,9507.58646669406 
 04/22  24:00:00,9196.151377657836 
 04/23  01:00:00,9268.337787685941 
 04/23  02:00:00,9333.634613997086 
 04/23  03:00:00,7778.935473600607 
 04/23  04:00:00,5171.313508829799 
 04/23  05:00:00,2905.3068937106364 
 04/23  06:00:00,3301.049933429799 
 04/23  07:00:00,7234.067212148519 
 04/23  08:00:00,30932.59448242096 
 04/23  09:00:00,214713.77475876816 
 04/23  10:00:00,284531.8088786718 
 04/23  11:00:00,306558.2469549551 
 04/23  12:00:00,303564.70799038765 
 04/23  13:00:00,311111.60440123415 
 04/23  14:00:00,349326.3179085401 
 04/23  15:00:00,378594.9930449587 
 04/23  16:00:00,355963.70673908127 
 04/23  17:00:00,339662.53169353006 
 04/23  18:00:00,169976.23355208525 
 04/23  19:00:00,103800.81705198346 
 04/23  20:00:00,68272.93196831203 
 04/23  21:00:00,13148.270237488572 
 04/23  22:00:00,12966.870012256264 
 04/23  23:00:00,12668.961817929092 
 04/23  24:00:00,12299.973682030244 
 04/24  01:00:00,11949.879525437214 
 04/24  02:00:00,11588.170061943725 
 04/24  03:00:00,11066.820140486643 
 04/24  04:00:00,10537.716353051355 
 04/24  05:00:00,9931.202164102671 
 04/24  06:00:00,10690.935028363405 
 04/24  07:00:00,12657.427093976577 
 04/24  08:00:00,38804.39596254026 
 04/24  09:00:00,281196.521941686 
 04/24  10:00:00,299943.18760309307 
 04/24  11:00:00,311669.578984276 
 04/24  12:00:00,320349.7591225652 
 04/24  13:00:00,317335.9312532109 
 04/24  14:00:00,312052.48856233488 
 04/24  15:00:00,322398.464763402 
 04/24  16:00:00,295420.341979545 
 04/24  17:00:00,253254.61792654568 
 04/24  18:00:00,82526.18956895087 
 04/24  19:00:00,40023.672577645826 
 04/24  20:00:00,14616.017848046999 
 04/24  21:00:00,13898.455964543005 
