Date/Time,Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/01  01:00:00,5050.26177687378 
 04/01  02:00:00,4561.483216846172 
 04/01  03:00:00,4203.024967041667 
 04/01  04:00:00,3765.825344988412 
 04/01  05:00:00,3294.2207065426705 
 04/01  06:00:00,3284.641146087473 
 04/01  07:00:00,3835.7112802912234 
 04/01  08:00:00,16583.25931867925 
 04/01  09:00:00,133421.53196086066 
 04/01  10:00:00,142901.54825541579 
 04/01  11:00:00,149365.68879441333 
 04/01  12:00:00,153869.29388143079 
 04/01  13:00:00,145718.96706864323 
 04/01  14:00:00,137301.41652136748 
 04/01  15:00:00,144551.66918078459 
 04/01  16:00:00,134079.16019479978 
 04/01  17:00:00,116463.99740185718 
 04/01  18:00:00,40199.85274341754 
 04/01  19:00:00,19533.735860200137 
 04/01  20:00:00,7960.52440059534 
 04/01  21:00:00,6196.311565884495 
 04/01  22:00:00,5649.279630709487 
 04/01  23:00:00,5551.633703361699 
 04/01  24:00:00,5433.64521157119 
 04/02  01:00:00,5330.606150515866 
 04/02  02:00:00,5195.931773416378 
 04/02  03:00:00,5069.774996450065 
 04/02  04:00:00,5017.832320405934 
 04/02  05:00:00,4953.868670042307 
 04/02  06:00:00,4934.542915372623 
 04/02  07:00:00,5102.661421367451 
 04/02  08:00:00,14120.862134989327 
 04/02  09:00:00,102423.28858229234 
 04/02  10:00:00,134690.5477834987 
 04/02  11:00:00,146626.99895123274 
 04/02  12:00:00,142590.0048787111 
 04/02  13:00:00,139336.4984847922 
 04/02  14:00:00,157418.22070111696 
 04/02  15:00:00,174312.14357966995 
 04/02  16:00:00,168165.65439390046 
 04/02  17:00:00,161968.4991893561 
 04/02  18:00:00,86350.5189351983 
 04/02  19:00:00,56480.996313512 
 04/02  20:00:00,38404.61304034432 
 04/02  21:00:00,6103.993097616799 
 04/02  22:00:00,5830.093480012139 
 04/02  23:00:00,5552.893086090901 
 04/02  24:00:00,5282.677875941118 
 04/03  01:00:00,4998.042136411267 
 04/03  02:00:00,4692.991281069249 
 04/03  03:00:00,4394.241931240324 
 04/03  04:00:00,4087.0335999787567 
 04/03  05:00:00,3807.6131462342837 
 04/03  06:00:00,3841.494983909695 
 04/03  07:00:00,4240.9358077275965 
 04/03  08:00:00,12922.472421649261 
 04/03  09:00:00,129563.99812916026 
 04/03  10:00:00,137315.20346728815 
 04/03  11:00:00,143662.73799827565 
 04/03  12:00:00,146687.27050975769 
 04/03  13:00:00,141149.041899176 
 04/03  14:00:00,136167.932499685 
 04/03  15:00:00,144348.6810469987 
