Date/Time,Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/01  01:00:00,13633.04427873478 
 04/01  02:00:00,10829.830613754928 
 04/01  03:00:00,8828.73255148527 
 04/01  04:00:00,6039.352361171795 
 04/01  05:00:00,3498.342469273123 
 04/01  06:00:00,3453.648197350544 
 04/01  07:00:00,6404.112611345709 
 04/01  08:00:00,40864.9665237189 
 04/01  09:00:00,330553.0464622385 
 04/01  10:00:00,371215.41462871988 
 04/01  11:00:00,400785.36445341337 
 04/01  12:00:00,419223.6595004383 
 04/01  13:00:00,417212.6837830828 
 04/01  14:00:00,410822.58361156526 
 04/01  15:00:00,418657.5389492463 
 04/01  16:00:00,382369.1268921331 
 04/01  17:00:00,339629.3337843909 
 04/01  18:00:00,120567.08779969184 
 04/01  19:00:00,61405.54305798165 
 04/01  20:00:00,22396.4230176495 
 04/01  21:00:00,17730.204947094124 
 04/01  22:00:00,16912.337108235297 
 04/01  23:00:00,16581.040923928344 
 04/01  24:00:00,16068.821517942983 
 04/02  01:00:00,15480.119299441782 
 04/02  02:00:00,14721.114629017276 
 04/02  03:00:00,14044.079178235306 
 04/02  04:00:00,13804.642878333514 
 04/02  05:00:00,13467.683331930488 
 04/02  06:00:00,13371.431287228805 
 04/02  07:00:00,14142.892687568974 
 04/02  08:00:00,41987.66662893947 
 04/02  09:00:00,280732.4772777225 
 04/02  10:00:00,377943.50454008768 
 04/02  11:00:00,414926.07119502869 
 04/02  12:00:00,411269.9445462677 
 04/02  13:00:00,417250.97609841576 
 04/02  14:00:00,461865.129390985 
 04/02  15:00:00,494180.0323122091 
 04/02  16:00:00,463535.78693362578 
 04/02  17:00:00,449194.8335674177 
 04/02  18:00:00,229137.88406472514 
 04/02  19:00:00,139123.5260010267 
 04/02  20:00:00,93160.4862065956 
 04/02  21:00:00,18516.415892033572 
 04/02  22:00:00,17505.096681725798 
 04/02  23:00:00,16539.148411152528 
 04/02  24:00:00,15193.813033762288 
 04/03  01:00:00,13542.881874554425 
 04/03  02:00:00,11849.17274816621 
 04/03  03:00:00,10171.095418286523 
 04/03  04:00:00,8398.059778124878 
 04/03  05:00:00,6721.230970897184 
 04/03  06:00:00,7119.481908986704 
 04/03  07:00:00,9718.613275934875 
 04/03  08:00:00,40157.14969447837 
 04/03  09:00:00,339092.51539294517 
