time;kw;Demand
1;8.93;Measured
2;8.73;Measured
3;8.73;Measured
4;8.53;Measured
5;8.48;Measured
6;8.48;Measured
7;10.03;Measured
8;36.55;Measured
9;80.03;Measured
10;99.10;Measured
11;103.30;Measured
12;109.63;Measured
13;114.15;Measured
14;119.33;Measured
15;116.45;Measured
16;101.90;Measured
17;88.28;Measured
18;57.30;Measured
19;39.68;Measured
20;29.23;Measured
21;15.63;Measured
22;9.93;Measured
23;8.85;Measured
24;8.73;Measured
1;7.142407202;Simulated
2;7.06327707;Simulated
3;6.938803386;Simulated
4;6.789934612;Simulated
5;6.640226552;Simulated
6;6.68560758;Simulated
7;6.984241129;Simulated
8;22.18391403;Simulated
9;102.5080131;Simulated
10;110.345317;Simulated
11;113.6418895;Simulated
12;115.9346853;Simulated
13;117.0777501;Simulated
14;124.1047008;Simulated
15;132.0636057;Simulated
16;123.972413;Simulated
17;102.9292883;Simulated
18;39.59942571;Simulated
19;23.27560882;Simulated
20;15.76042351;Simulated
21;11.54174181;Simulated
22;7.360128141;Simulated
23;7.309732536;Simulated
24;7.239676498;Simulated
