time;kw;Demand
1;8.93;Measured
2;8.73;Measured
3;8.73;Measured
4;8.53;Measured
5;8.48;Measured
6;8.48;Measured
7;10.03;Measured
8;36.55;Measured
9;80.03;Measured
10;99.10;Measured
11;103.30;Measured
12;109.63;Measured
13;114.15;Measured
14;119.33;Measured
15;116.45;Measured
16;101.90;Measured
17;88.28;Measured
18;57.30;Measured
19;39.68;Measured
20;29.23;Measured
21;15.63;Measured
22;9.93;Measured
23;8.85;Measured
24;8.73;Measured
1;4.247795466;Simulated
2;4.159516699;Simulated
3;4.031448871;Simulated
4;3.880302277;Simulated
5;3.735675644;Simulated
6;3.778578228;Simulated
7;4.079295957;Simulated
8;13.05243259;Simulated
9;75.67344765;Simulated
10;79.71834484;Simulated
11;82.5746663;Simulated
12;83.85349716;Simulated
13;84.84050307;Simulated
14;93.40392713;Simulated
15;102.6320271;Simulated
16;96.94738973;Simulated
17;77.96353555;Simulated
18;31.85476662;Simulated
19;19.31022476;Simulated
20;13.05263055;Simulated
21;8.801225678;Simulated
22;4.578273762;Simulated
23;4.489768498;Simulated
24;4.377651952;Simulated
