Date/Time,AF305DAYLIGHTCONTROL:Daylighting Reference Point 1 Illuminance [lux](Hourly),AF305DAYLIGHTCONTROL:Daylighting Reference Point 2 Illuminance [lux](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/01  01:00:00,0.0,0.0,4935.105617757279 
 04/01  02:00:00,0.0,0.0,4473.81233516821 
 04/01  03:00:00,0.0,0.0,4117.367688298657 
 04/01  04:00:00,0.0,0.0,3685.8782395483145 
 04/01  05:00:00,0.0,0.0,3225.3080190475443 
 04/01  06:00:00,41.27702194453163,24.838173195066589,3214.6111197393543 
 04/01  07:00:00,348.0675083933684,230.80437025598043,3773.4409463349725 
 04/01  08:00:00,685.1106927098522,442.1076847208576,17768.607846747764 
 04/01  09:00:00,835.9207072118842,537.8685526861734,145401.36318824898 
 04/01  10:00:00,801.5259260633289,525.1369450529957,153803.8320701573 
 04/01  11:00:00,634.9770529988008,428.22746847801678,160484.11980742185 
 04/01  12:00:00,530.8235832989167,365.5428801050043,165483.77769075117 
 04/01  13:00:00,555.013843093217,374.23703901472569,155666.4913932028 
 04/01  14:00:00,615.5587584543867,397.9980117019625,145855.3979718605 
 04/01  15:00:00,566.1604494972784,353.65157625958138,154310.98371070793 
 04/01  16:00:00,466.39997806590898,284.5460382253779,142199.69760757753 
 04/01  17:00:00,291.56829038774046,175.44771292752737,121752.42344498124 
 04/01  18:00:00,56.75152394678967,32.94295625763428,41626.18578048403 
 04/01  19:00:00,0.0,0.0,20163.225856833276 
 04/01  20:00:00,0.0,0.0,7915.720170846535 
 04/01  21:00:00,0.0,0.0,6064.5608964187495 
 04/01  22:00:00,0.0,0.0,5513.101856586302 
 04/01  23:00:00,0.0,0.0,5413.358819348092 
 04/01  24:00:00,0.0,0.0,5302.776331361042 
 04/02  01:00:00,0.0,0.0,5207.717448637134 
 04/02  02:00:00,0.0,0.0,5082.172837280908 
 04/02  03:00:00,0.0,0.0,4962.8764677468525 
 04/02  04:00:00,0.0,0.0,4914.950829153077 
 04/02  05:00:00,0.0,0.0,4858.588340127438 
 04/02  06:00:00,37.476667925688428,22.911802343516667,4847.785800120905 
 04/02  07:00:00,297.5380735533637,199.95020635128038,5055.203664054335 
 04/02  08:00:00,581.954043333043,379.6387798385722,14850.731676472176 
