Date/Time,AF305DAYLIGHINGCONTROL:Daylighting Reference Point 1 Illuminance [lux](Hourly),AF305DAYLIGHINGCONTROL:Daylighting Reference Point 2 Illuminance [lux](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 10/01  01:00:00,0.0,0.0,7959.2340340260525 
 10/01  02:00:00,0.0,0.0,7873.480624506763 
 10/01  03:00:00,0.0,0.0,7736.39281216278 
 10/01  04:00:00,0.0,0.0,7669.686931190198 
 10/01  05:00:00,0.0,0.0,7605.573975803229 
 10/01  06:00:00,58.996630600467707,30.255272910054186,7665.214675931843 
 10/01  07:00:00,308.035315605088,179.80996686271735,7801.817526176565 
 10/01  08:00:00,494.16827232774838,294.13460478987659,29701.938650045155 
 10/01  09:00:00,574.4635588997829,350.76235466646338,61848.50338016476 
 10/01  10:00:00,547.404271727123,344.94754234512745,96199.4211061483 
 10/01  11:00:00,461.90897779374139,301.8871051436317,97931.51885578752 
 10/01  12:00:00,379.6858041837176,253.77972487069358,141604.59820598065 
 10/01  13:00:00,392.60843208920218,258.1782204833852,145039.4042143056 
 10/01  14:00:00,390.2135761670309,249.54432294929709,170319.78647607968 
 10/01  15:00:00,313.7824532976153,196.4510304508594,177555.71170813536 
 10/01  16:00:00,206.01265866107029,128.47505379131429,158697.68371688625 
 10/01  17:00:00,82.05692403191783,51.97536467792742,137192.77380015577 
 10/01  18:00:00,9.310771380617544,5.8997174137566159,52784.818975842885 
 10/01  19:00:00,0.0,0.0,25999.083045837124 
 10/01  20:00:00,0.0,0.0,10994.476428200645 
 10/01  21:00:00,0.0,0.0,8577.795462242471 
 10/01  22:00:00,0.0,0.0,8150.562530488366 
 10/01  23:00:00,0.0,0.0,8136.888514586783 
 10/01  24:00:00,0.0,0.0,8119.398837225795 
 10/02  01:00:00,0.0,0.0,7867.88330061716 
 10/02  02:00:00,0.0,0.0,7777.1476081734 
 10/02  03:00:00,0.0,0.0,7667.301407217766 
 10/02  04:00:00,0.0,0.0,7551.190045651364 
 10/02  05:00:00,0.0,0.0,7424.286700321288 
 10/02  06:00:00,60.49010684975252,30.84725169687277,7536.338552744021 
